text,level,conf,height
,1,-1.0,842
,2,-1.0,20
,3,-1.0,20
,4,-1.0,8
INTERNATIONAL,5,96.006065,8
SERIES,5,96.622528,8
IN,5,95.131195,28
PURE,5,95.131195,8
,4,-1.0,8
AND,5,96.454575,8
APPLIED,5,95.503197,8
MATHEMATICS.,5,77.457123,8
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
 ,5,95.0,15
,2,-1.0,22
,3,-1.0,22
,4,-1.0,10
‘Wiliams,5,34.035553,28
Ted,5,74.466568,28
"Marti,",5,84.831886,28
E.,5,77.791794,28
H.,5,81.717941,28
"Spanier,",5,50.730316,28
G.,5,53.828701,8
Springer,5,82.598312,28
and,5,86.635323,28
,4,-1.0,10
1.,5,69.231392,28
Davis.,5,56.561298,28
Consting,5,45.908554,28
Editors,5,50.441315,28
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
 ,5,95.0,38
,2,-1.0,68
,3,-1.0,9
,4,-1.0,9
‘Gnuaren:Techlgue,5,0.0,9
in,5,60.066254,28
Partial,5,70.710907,7
Dileretial,5,37.202927,7
Equations,5,53.256187,8
,3,-1.0,8
,4,-1.0,8
‘Coopnowon,5,0.0,8
Ano,5,64.890671,5
Levinson:,5,55.953514,7
Theory,5,37.235634,8
of,5,71.282593,28
Ordinary,5,66.588135,8
Diferenal,5,16.378876,7
Equations,5,64.051308,8
,3,-1.0,8
,4,-1.0,8
‘Coure,5,0.0,8
sno,5,35.382225,5
be,5,73.872993,5
Boon:,5,66.551132,7
Elementary,5,66.443787,8
Numeral,5,73.353722,7
Analysis:,5,43.410305,8
An,5,43.410305,7
Algorithmic,5,0.0,8
Approach,5,82.994003,8
,3,-1.0,17
,4,-1.0,9
DennturvenInroduction,5,0.0,8
to,5,82.700363,6
Paral,5,66.49559,7
Diereaal,5,40.151173,7
Equations,5,62.482182,8
and,5,42.557446,7
Boundary,5,42.557446,9
Valoe,5,77.075775,7
,4,-1.0,7
Problems,5,74.896851,7
,3,-1.0,9
,4,-1.0,9
Derm:,5,30.944931,6
Mathematical,5,0.0,7
Methods,5,64.605209,7
in,5,52.453632,5
Physics,5,18.428917,28
and,5,78.081543,7
Engineering,5,30.727386,9
,3,-1.0,8
,4,-1.0,8
Gotoxt,5,17.17363,7
ax,5,7.32782,5
Stans:,5,59.282818,7
Elements,5,83.846207,7
of,5,83.982162,28
Ordinary,5,65.039505,8
Dern,5,6.32132,7
Equations,5,43.245602,8
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,58
,3,-1.0,58
,4,-1.0,58
 ,5,95.0,58
,2,-1.0,160
,3,-1.0,18
,4,-1.0,9
‘McCanrv:,5,24.187843,7
Topology:,5,68.384232,9
Ao,5,60.226292,7
Introduction,5,57.039085,7
with,5,75.269318,7
Applications,5,46.94767,28
Topological,5,42.897377,28
Grow,5,70.400024,8
,4,-1.0,8
‘Mons,5,43.346565,6
Intodcton,5,19.092941,8
to,5,55.85743,6
Set,5,63.918228,7
,3,-1.0,9
,4,-1.0,9
‘Moons:,5,0.0,7
Element,5,75.770401,8
of,5,70.275803,7
Linear,5,79.659119,7
Aleta,5,33.809883,9
and,5,72.779312,7
Mati,5,72.467079,7
Theory,5,94.737778,8
,3,-1.0,9
,4,-1.0,9
‘Mesrow,5,0.0,7
ax,5,57.858585,6
Saurscn:,5,30.295784,7
Linear,5,68.056061,8
Algebra,5,37.516132,9
,3,-1.0,19
,4,-1.0,9
‘Mounsouo,5,0.0,7
aso,5,59.797562,6
Dons:,5,74.900116,7
Elementary,5,0.0,9
Theory,5,68.849808,9
and,5,68.849808,7
Application,5,44.926151,9
of,5,66.180412,28
Numerical,5,39.718033,8
Analysis,5,63.423954,9
,4,-1.0,9
Pant:,5,0.0,7
Matin,5,0.0,7
Theory,5,67.828171,8
and,5,89.431038,7
Fine,5,66.171799,7
Mathematics,5,38.46917,8
,3,-1.0,9
,4,-1.0,9
Pius,5,62.139233,7
ab,5,55.07341,5
Hani,5,30.028992,7
Applied,5,70.909393,8
Mathematics,5,72.050468,7
for,5,72.050468,8
Engineers,5,30.124985,8
and,5,69.760483,7
Physicists,5,44.52948,9
,3,-1.0,8
,4,-1.0,8
[Ratstow:,5,0.0,7
A,5,88.521713,7
Fst,5,80.175163,7
Cours,5,69.267159,7
in,5,67.395935,5
Numerical,5,78.111183,7
Anais,5,54.543587,8
,3,-1.0,8
,4,-1.0,8
[Rrrou,5,31.622581,7
av,5,59.405598,5
Ros:,5,82.887665,7
Diflretal,5,15.707611,7
Equations,5,90.632706,8
with,5,74.848274,28
Applications,5,48.064278,8
,3,-1.0,7
,4,-1.0,7
‘Rar:,5,12.562859,7
Fouret,5,42.577232,7
Serie,5,69.110878,7
,3,-1.0,9
,4,-1.0,9
Robi:,5,0.0,7
Pencils,5,49.780907,9
of,5,69.029358,7
Mathematical,5,64.65625,7
Analysis,5,71.58931,8
,3,-1.0,9
,4,-1.0,9
‘Searmo:,5,63.951202,6
Introduction,5,57.838802,7
to,5,66.051369,5
Abstract,5,57.512337,7
Algebra,5,53.756012,9
,3,-1.0,9
,4,-1.0,9
Snax:,5,17.941299,8
Dierental,5,50.142769,8
Eguations,5,17.841965,9
with,5,59.329762,7
Applications,5,75.57782,9
and,5,81.248947,6
Historical,5,46.955799,7
Notes,5,61.789299,7
,3,-1.0,9
,4,-1.0,9
‘Shon:,5,0.0,7
Introduction,5,40.875397,7
9,5,39.948311,6
Topology,5,56.681274,9
and,5,56.681274,7
Modern,5,94.727753,8
Analysis,5,62.858414,9
,3,-1.0,9
,4,-1.0,9
‘Shtooon:,5,18.649506,7
Elements,5,57.902687,8
of,5,61.389717,28
Pata!,5,39.446991,8
Difeenal,5,20.471878,8
Eguations,5,63.595131,9
,3,-1.0,9
,4,-1.0,9
SrAURL:,5,0.0,7
Nonlinear,5,58.514118,7
Dilerenil,5,37.015503,8
Equations,5,56.579628,8
