text,level,conf,height
,1,-1.0,548
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
how,5,95.703865,17
to,5,95.703865,13
read,5,96.030594,16
and,5,96.030594,16
do,5,96.798355,16
proofs,5,96.713203,22
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
nathem,5,88.569016,9
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
 ,5,95.0,11
,2,-1.0,246
,3,-1.0,246
,4,-1.0,246
 ,5,95.0,246
,2,-1.0,86
,3,-1.0,86
,4,-1.0,86
  ,5,95.0,84
  ,5,95.0,30
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
solow,5,92.249016,14
