text,level,conf,height
,1,-1.0,594
,2,-1.0,148
,3,-1.0,126
,4,-1.0,74
THE,5,90.860703,21
USSROLYMPIAD,5,90.312485,22
|,5,60.065781,44
2?,5,25.988914,36
sie,5,44.94088,74
i,5,16.22789,48
i,5,44.820057,48
",",5,6.257645,47
*,5,68.252304,56
,4,-1.0,67
san,5,31.750656,61
ren,5,34.388947,60
ae,5,44.102077,61
”,5,0.0,9
7,5,59.506454,34
,4,-1.0,45
DO.,5,85.369431,29
"Shklarshy,N.N.Chents",5,22.84494,45
"1tZOV,",5,0.0,12
THE,5,96.519386,38
USSR,5,94.346283,40
,3,-1.0,17
,4,-1.0,17
and,5,92.03154,28
I.M.Yaglom,5,67.028381,17
,2,-1.0,159
,3,-1.0,159
,4,-1.0,38
BOOK,5,95.577217,38
,4,-1.0,27
Selected,5,96.662048,26
Problems,5,95.661476,26
,4,-1.0,29
and,5,96.840004,25
Theorems,5,96.577164,29
of,5,96.857681,25
,4,-1.0,33
Elementary,5,96.480064,33
,4,-1.0,26
Mathematics,5,92.341019,26
,2,-1.0,63
,3,-1.0,63
,4,-1.0,63
|,5,94.856499,63
,2,-1.0,350
,3,-1.0,350
,4,-1.0,350
  ,5,95.0,350
,2,-1.0,49
,3,-1.0,49
,4,-1.0,24
DO.,5,89.626945,18
"Shklarsky,",5,81.638557,23
N.N.Chentzov,5,70.630234,18
,4,-1.0,23
and,5,90.865997,18
LM.Yaglom,5,12.607132,23
,2,-1.0,149
,3,-1.0,149
,4,-1.0,33
i,5,92.91716,33
,4,-1.0,112
Ui,5,23.2649,112
|,5,71.781845,118
PAO,5,31.810768,112
