text,level,conf,height
,1,-1.0,784
,2,-1.0,107
,3,-1.0,107
,4,-1.0,49
Anatomy,5,93.298477,38
&,5,93.096779,35
,4,-1.0,53
Physiology,5,96.662689,53
,2,-1.0,288
,3,-1.0,288
,4,-1.0,288
 ,5,95.0,288
,2,-1.0,34
,3,-1.0,34
,4,-1.0,17
by,5,96.758568,17
Janet,5,93.306168,12
Rae-Dupree,5,93.096313,16
,4,-1.0,13
and,5,96.980217,13
Pat,5,93.305496,12
DuPree,5,93.139313,12
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,40
,3,-1.0,40
,4,-1.0,40
 ,5,95.0,40
,2,-1.0,40
,3,-1.0,40
,4,-1.0,40
 ,5,95.0,40
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,74
,3,-1.0,74
,4,-1.0,74
 ,5,95.0,74
