text,level,conf,height
,1,-1.0,504
,2,-1.0,139
,3,-1.0,139
,4,-1.0,22
Artificial,5,96.241035,22
,4,-1.0,28
Intelligence,5,95.949791,28
,4,-1.0,28
Applications,5,96.663445,28
and,5,96.912605,22
,4,-1.0,21
Innovations,5,96.940514,21
,2,-1.0,21
,3,-1.0,21
,4,-1.0,7
atte,5,40.348587,7
by,5,53.779202,28
,4,-1.0,9
Max,5,93.295601,8
Bramer,5,93.242119,28
and,5,91.366714,28
Viadan,5,64.87294,9
Devedzic,5,90.994095,9
,2,-1.0,42
,3,-1.0,42
,4,-1.0,42
@),5,30.332184,42
,2,-1.0,24
,3,-1.0,24
,4,-1.0,7
Sa,5,19.923546,7
cuwen,5,0.0,6
,4,-1.0,16
TR,5,19.855255,16
atts,5,17.708778,14
,2,-1.0,144
,3,-1.0,144
,4,-1.0,144
 ,5,95.0,144
