text,level,conf,height
,1,-1.0,690
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,601
,3,-1.0,601
,4,-1.0,601
 ,5,95.0,601
,2,-1.0,55
,3,-1.0,55
,4,-1.0,55
AUTISM,5,96.635201,55
,2,-1.0,44
,3,-1.0,44
,4,-1.0,20
Oxidative,5,96.657715,17
"Stress,",5,93.300774,20
"Inflamation,",5,92.243675,20
,4,-1.0,17
and,5,96.669128,17
Immune,5,95.968842,17
Abnormalities,5,96.52874,17
,2,-1.0,274
,3,-1.0,274
,4,-1.0,274
 ,5,95.0,274
,2,-1.0,93
,3,-1.0,93
,4,-1.0,17
Edited,5,96.855095,13
by,5,96.975494,17
,4,-1.0,17
Abha,5,93.14991,17
Chauhan,5,96.337425,17
,4,-1.0,16
Ved,5,96.829735,16
Chauhan,5,96.910172,16
,4,-1.0,17
W.,5,91.384048,16
Ted,5,96.52124,17
Brown,5,96.894737,16
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
 ,5,95.0,38
,2,-1.0,601
,3,-1.0,601
,4,-1.0,601
 ,5,95.0,601
