text,level,conf,height
,1,-1.0,500
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
*SIo),5,0.0,21
,2,-1.0,71
,3,-1.0,67
,4,-1.0,18
Cells,5,94.918808,18
and,5,96.943893,18
Robots,5,96.790306,18
,4,-1.0,39
Modeling,5,96.354523,18
and,5,96.56514,14
Control,5,95.232361,15
of,5,95.860558,15
Large-Size,5,75.899803,39
,2,-1.0,67
,3,-1.0,67
,4,-1.0,18
Agent,5,96.889626,18
Populations,5,94.087418,18
~,5,79.529152,7
,4,-1.0,32
ye,5,32.103699,25
wa,5,8.70105,32
,4,-1.0,18
St,5,15.07756,17
ed,5,27.33725,10
,2,-1.0,212
,3,-1.0,212
,4,-1.0,212
     ,5,95.0,212
