text,level,conf,height
,1,-1.0,332
,2,-1.0,311
,3,-1.0,82
,4,-1.0,16
The,5,97.01413,16
Defenders,5,96.996727,16
,4,-1.0,11
By,5,94.991928,11
PHILIP,5,93.296082,8
K.,5,89.36718,8
DICK,5,92.475952,8
,4,-1.0,9
‘No,5,35.63353,7
weapons,5,16.269135,9
ever,5,64.463379,5
been,5,64.463379,7
fehl,5,25.201729,9
enough,5,0.0,9
puta,5,49.748302,8
top,5,70.533592,8
to,5,52.182076,6
,4,-1.0,9
war,5,27.340866,31
perapeecasewe,5,11.390694,7
rer,5,21.134666,5
before,5,21.134666,7
hd,5,64.586975,7
anytha,5,29.930817,9
ought,5,23.747673,9
,4,-1.0,7
for,5,50.164261,7
themselves,5,26.234528,7
,3,-1.0,10
,4,-1.0,10
‘stated,5,54.882484,10
by,5,54.882484,31
EMSEL,5,47.551888,8
,3,-1.0,79
,4,-1.0,15
‘TaylorSat,5,36.451813,15
back,5,96.233421,7
sm,5,55.094521,4
his,5,93.959137,7
chair,5,66.191986,7
reading,5,62.825935,9
the,5,93.511078,7
morning,5,94.441261,7
,4,-1.0,9
newspaper.,5,16.186455,7
The,5,83.361839,7
warm,5,44.054413,5
hitehen,5,31.518013,7
andthe,5,61.054432,7
atl,5,31.678856,7
of,5,47.92017,7
coffee,5,43.4202,7
,4,-1.0,9
anded,5,41.595249,7
with,5,67.634689,7
he,5,81.314598,7
oot,5,29.046127,7
ft,5,57.057575,7
having,5,55.158424,9
Yo,5,42.762943,31
go,5,68.864349,31
to,5,61.863823,31
work.,5,61.863823,31
This,5,62.006393,7
,4,-1.0,9
asi,5,52.901974,7
Ret,5,54.18346,7
Period,5,54.18346,7
the,5,77.545029,7
it,5,60.71904,7
fora,5,56.497021,7
long,5,72.220741,9
tine,5,72.220741,6
and,5,73.05275,7
he,5,61.730461,7
was,5,72.04541,5
,4,-1.0,9
df,5,21.863274,9
He,5,61.073051,7
ded,5,52.47665,7
the,5,72.269173,7
second,5,71.867485,7
ston,5,8.134842,6
"back,",5,67.175873,8
sighing,5,57.423576,9
with,5,72.781601,7
,3,-1.0,9
,4,-1.0,9
What,5,52.091812,7
i,5,48.8274,6
Mary,5,75.496109,30
sad,5,60.394096,8
rom,5,65.8423,7
the,5,81.967316,30
stove.,5,63.979778,30
,3,-1.0,39
,4,-1.0,9
“They,5,60.568901,9
pasted,5,59.989834,9
Moscow,5,65.037537,7
again,5,78.702782,8
at,5,66.775024,7
night”,5,61.447269,30
Taylor,5,42.280773,30
nodded,5,61.296276,7
,4,-1.0,9
1s,5,27.118179,7
bead,5,62.549973,7
in,5,44.86808,5
aproval,5,44.86808,9
"""Gave",5,60.328964,7
a,5,50.431221,6
el,5,64.327881,7
pounding,5,66.110611,9
One,5,55.686028,7
of,5,55.686028,31
tse,5,57.836838,7
,4,-1.0,7
Be,5,28.737267,7
"bonds,",5,28.737267,7
about,5,64.706398,7
ine”,5,64.825089,6
,3,-1.0,39
,4,-1.0,9
He,5,81.994164,7
ne,5,59.81403,7
gai.,5,64.72319,7
fing,5,58.4837,7
the,5,58.4837,9
ll,5,58.593735,7
comfort,5,67.016403,7
of,5,52.642464,30
the,5,75.258797,30
"chen,",5,31.523445,7
,4,-1.0,9
the,5,86.437477,7
presence,5,33.702568,7
of,5,92.257294,30
is,5,68.518112,7
"plump,",5,50.176811,9
atractive,5,10.95977,6
wife,5,63.189316,8
the,5,52.389637,7
besast,5,18.922882,7
,4,-1.0,7
dlues,5,18.169327,7
and,5,43.801979,7
cote.,5,48.076843,7
Tle,5,48.076843,7
was,5,55.953148,5
"laation,",5,24.556618,7
And,5,67.219528,7
the,5,59.086971,7
war,5,48.300789,5
news,5,48.300789,5
