text,level,conf,height
,1,-1.0,842
,2,-1.0,21
,3,-1.0,21
,4,-1.0,7
VALI,5,86.20414,7
,4,-1.0,9
Philip,5,79.049622,9
K.,5,60.504803,7
Dick,5,62.596363,7
,2,-1.0,101
,3,-1.0,101
,4,-1.0,9
\VALIS,5,21.571526,7
(acronym,5,0.0,9
of,5,96.608353,7
Vast,5,67.957436,28
Active,5,67.957436,7
Living,5,61.681557,9
Inel-,5,60.449364,7
,4,-1.0,9
ligence,5,45.592556,9
"System,",5,43.30616,9
from,5,43.30616,7
an,5,86.234543,5
American,5,64.944183,7
fil):,5,3.004189,9
,4,-1.0,9
perturbation,5,26.289169,9
inthe,5,77.203583,7
elit,5,0.0,9
Field,5,0.0,7
in,5,0.0,5
which,5,79.477592,7
2,5,44.976845,5
,4,-1.0,9
Spontaneous,5,49.423008,8
slF,5,48.249657,7
monitoring,5,48.249657,8
ngentropic,5,67.506638,8
vortex,5,76.323372,6
,4,-1.0,9
{s,5,0.0,5
"formed,",5,53.210579,7
tending,5,51.669136,9
progressively,5,76.968872,9
to,5,73.661728,6
subsume,5,89.241905,7
,4,-1.0,9
tnd,5,44.490047,7
incorporate,5,59.257225,8
its,5,48.649208,28
envionment,5,48.649208,6
into,5,68.360901,6
arange-,5,58.264771,7
,4,-1.0,9
tents,5,56.212521,6
of,5,70.160324,7
infomation.,5,15.188644,7
Characterized,5,44.011086,7
by,5,86.915436,9
qutsi=,5,27.393555,7
,4,-1.0,9
"consciousness,",5,67.219528,5
"purpose,",5,52.965401,7
"intelligence,",5,33.188034,9
growth,5,65.261581,9
,4,-1.0,7
‘nda,5,0.512581,7
amillary,5,60.288887,7
"coherence,",5,68.436676,7
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
1,5,96.9729,18
,2,-1.0,207
,3,-1.0,42
,4,-1.0,9
Horselover,5,28.688171,7
Fats,5,42.060642,7
nervous,5,81.854065,5
breakdown,5,0.0,7
began,5,73.331665,9
the,5,48.677883,28
day,5,48.677883,28
e,5,73.250015,7
go,5,77.20224,8
the,5,46.684647,7
phoaccal,5,42.749596,9
from,5,63.930267,7
Gloria,5,51.975525,7
asking,5,51.975525,9
if,5,68.821739,7
he,5,68.821739,28
,4,-1.0,9
‘ad,5,47.765846,7
any,5,93.303925,7
Nembutas:,5,0.0,7
He,5,89.802849,7
asked,5,78.870476,7
er,5,77.630028,7
why,5,77.630028,9
she,5,95.075378,7
wanted,5,86.903763,7
them,5,80.976715,7
and,5,93.474892,7
se,5,84.450516,7
said,5,72.38768,7
that,5,72.38768,7
she,5,89.335838,7
intended,5,76.734177,7
to,5,60.347023,6
kill,5,68.314621,7
hese,5,48.723274,7
,4,-1.0,9
She,5,73.620117,7
was,5,82.14975,5
calling,5,27.331917,9
everyone,5,47.070686,7
she,5,66.296051,7
knew.,5,36.913612,7
By,5,36.913612,9
now,5,93.145973,5
she,5,85.279373,28
had,5,70.739151,28
iy,5,49.802608,7
of,5,49.802608,28
"thm,",5,56.311703,8
but,5,56.311703,28
she,5,64.612625,7
needed,5,64.612625,7
sity,5,42.720993,9
or,5,52.440216,28
Taty,5,52.440216,7
"more,",5,82.104355,5
,4,-1.0,7
tobeon,5,45.727024,7
the,5,45.727024,7
ste,5,37.020607,7
side,5,37.020607,7
,3,-1.0,44
,4,-1.0,9
“At,5,5.694084,7
once,5,5.694084,5
Horslover,5,57.099018,7
Fa,5,87.926987,7
leaped,5,42.643105,9
othe,5,54.814941,7
conclusion,5,54.814941,7
tha,5,80.084991,7
his,5,69.867928,7
washer,5,65.108223,9
way,5,65.108223,28
of,5,54.500488,7
aking,5,54.500488,9
for,5,65.552109,7
belp.,5,50.699623,9
I,5,60.162285,7
had,5,60.162285,7
,4,-1.0,9
ben,5,66.886871,7
Fats,5,57.389988,7
delusion,5,33.70874,7
for,5,55.216694,7
years,5,50.57262,7
that,5,50.57262,7
he,5,56.575394,7
could,5,55.974182,7
help,5,53.427353,9
people.,5,53.427353,9
His,5,53.382523,7
psychiatrist,5,52.144249,9
once,5,52.144249,5
fold,5,52.802891,7
him,5,52.802891,7
thao,5,53.893013,7
get,5,53.893013,8
well,5,66.585434,7
,4,-1.0,9
‘he,5,42.327927,7
would,5,76.322296,7
have,5,72.754593,7
to,5,62.26952,6
do,5,91.749619,7
two,5,52.481041,6
things:,5,52.481041,9
get,5,58.176109,8
af,5,58.176109,7
dpe,5,76.062653,28
(which,5,96.307014,8
he,5,79.395645,7
had,5,55.547531,7
dove),5,67.538452,9
and,5,57.941826,7
sap,5,36.702328,8
tying,5,36.702328,8
to,5,43.977257,6
belp,5,37.418526,9
people,5,81.408821,9
,4,-1.0,9
(Ge,5,70.629639,8
sill,5,66.812553,7
ied,5,52.882812,7
to,5,59.549084,6
help,5,59.549084,9
people),5,66.983665,9
,3,-1.0,32
,4,-1.0,9
‘Asa,5,73.755875,7
mate,5,73.755875,6
of,5,62.412281,28
"fat,",5,62.412281,8
he,5,88.108452,7
had,5,70.758919,7
no,5,70.758919,5
Nernbutals.,5,28.744949,7
He,5,93.224129,7
had,5,52.767941,7
no,5,52.767941,5
slsping,5,54.109642,9
pills,5,73.149788,9
of,5,45.299397,28
any,5,45.299397,9
sor.,5,82.63208,6
He,5,82.63208,7
never,5,56.708241,5
did,5,56.708241,7
,4,-1.0,9
stooping,5,9.438713,9
pills,5,60.357849,9
He,5,69.97876,7
dil,5,68.685928,7
uppers.,5,68.685928,7
So,5,52.205158,28
giving,5,52.205158,7
Gloria,5,71.10321,7
leping,5,54.820816,9
pills,5,51.273037,9
by,5,90.044434,9
which,5,95.89119,7
she,5,63.623169,7
could,5,40.06543,7
Kill,5,40.06543,7
herself,5,44.571785,28
was,5,77.753304,28
,4,-1.0,9
beyond,5,32.80513,9
is,5,54.4557,7
power.,5,47.387543,7
"Anyhow,",5,75.392502,9
he,5,88.734879,7
woulda,5,52.224346,7
have,5,85.467903,7
dove,5,45.127468,7
ii,5,44.002747,6
he,5,44.002747,7
could.,5,41.893082,7
,3,-1.0,9
,4,-1.0,9
“Thave,5,39.723755,7
"te,”",5,47.144714,8
he,5,47.144714,7
said.,5,50.721214,7
Because,5,66.780647,7
iThe,5,48.114639,7
told,5,62.04195,7
her,5,62.04195,7
the,5,74.28257,7
th,5,56.998512,7
she,5,84.923973,7
would,5,74.01947,7
hang,5,86.234634,9
wp.,5,71.553146,7
,3,-1.0,21
,4,-1.0,9
“Then,5,82.266327,28
Il,5,52.419769,7
dive,5,71.29055,9
up,5,74.449158,28
to,5,64.473274,28
your,5,74.558365,7
"place,""",5,74.558365,9
Gloria,5,39.373821,7
sid,5,39.373821,7
ina,5,53.623161,5
"rational,",5,70.736542,28
ealm,5,75.15712,7
"Voice,",5,69.970016,5
the,5,76.711647,7
same,5,42.189774,28
tone,5,42.189774,28
in,5,57.628975,5
which,5,57.628975,7
she,5,73.628235,7
,4,-1.0,9
ad,5,40.092491,7
asked,5,85.477707,7
forthe,5,55.412613,7
"pls,",5,55.412613,9
,3,-1.0,33
,4,-1.0,9
He,5,81.144119,7
realized,5,48.536053,7
then,5,87.354416,7
that,5,71.456161,7
she,5,83.068848,7
was,5,79.385216,5
not,5,67.114815,6
asking,5,53.632389,9
for,5,53.632389,7
help.,5,61.372055,9
She,5,69.353851,7
was,5,69.353851,5
tying,5,47.547684,8
to,5,57.671543,6
die.,5,59.596596,7
She,5,59.596596,7
was,5,66.837631,5
completely,5,36.043457,9
crazy,5,69.951866,7
,4,-1.0,9
-fshe,5,0.0,7
were,5,82.311363,5
sane,5,69.125481,5
she,5,67.816132,7
would,5,67.816132,7
ealize,5,21.162903,7
that,5,67.884872,7
it,5,67.884872,6
was,5,69.027634,5
necessary,5,54.531593,7
to,5,67.907623,6
veil,5,47.357689,7
her,5,47.357689,7
"purpose,",5,63.314358,7
beeause,5,51.140549,7
tis,5,77.304382,7
Way,5,77.304382,7
she,5,90.780823,7
,4,-1.0,9
‘made,5,28.549263,7
him,5,94.194504,7
guilty,5,56.164112,9
of,5,41.515892,28
complicity.,5,38.195564,9
For,5,48.611671,7
him,5,48.611671,7
,3,-1.0,7
,4,-1.0,7
1,5,24.50148,7
,2,-1.0,127
,3,-1.0,32
,4,-1.0,9
"grec,",5,53.048435,7
he,5,53.048435,28
would,5,53.8881,7
nos,5,53.8881,7
o,5,54.194366,6
want,5,61.19883,6
he,5,61.19883,7
deat.,5,47.174042,7
No,5,58.34486,7
motive,5,54.107784,6
exist,5,49.98613,7
for,5,74.040749,7
hin-or,5,52.059547,7
anyone-to,5,49.387619,8
want,5,60.282589,6
tht.,5,66.070274,7
Gloria,5,54.116592,7
was,5,54.489418,5
,4,-1.0,9
fseneand,5,0.0,28
"civilized,",5,42.209732,28
bu,5,42.209732,7
she,5,76.240494,7
dropped,5,78.660515,28
ao,5,68.759315,7
of,5,75.981697,28
acid.,5,51.826157,28
Iwas,5,48.01107,28
obvious,5,31.940125,28
that,5,70.429268,7
the,5,69.743652,7
"acid,",5,54.917278,7
since,5,45.00209,5
he,5,45.00209,7
had,5,70.659012,7
lat,5,70.659012,7
heard,5,71.448738,7
,4,-1.0,9
ftom,5,61.290356,7
her,5,78.969345,7
six,5,82.717117,5
months,5,76.701889,7
"ago,",5,63.991577,7
had,5,63.991577,7
wrecked,5,81.240959,7
her,5,47.716866,7
mind.,5,47.716866,7
,3,-1.0,9
,4,-1.0,9
“What,5,0.0,7
you,5,65.582191,7
beon,5,67.748856,7
doing?”,5,60.241123,9
