text,level,conf,height
,1,-1.0,842
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,48
,3,-1.0,48
,4,-1.0,11
PHILIP,5,93.293236,7
K.,5,48.336327,7
DICK,5,94.786003,8
THE,5,94.786003,7
ZAP,5,96.620781,7
GUN,5,96.620781,8
Being,5,95.928123,10
that,5,94.296974,8
Most,5,96.871941,7
Excellent,5,88.451454,8
Account,5,95.642067,7
of,5,93.128975,8
Travails,5,49.658638,7
and,5,83.901665,8
Contayning,5,90.301956,11
Many,5,90.96534,9
Preic,5,66.722107,7
Hystoies,5,31.673721,9
,4,-1.0,11
By,5,67.306564,9
Him,5,96.842438,7
Sct,5,72.076073,8
Foorth,5,83.556374,8
in,5,93.282501,5
Comely,5,90.004059,10
Colours,5,96.31411,8
and,5,96.837639,8
Most,5,96.16626,7
Delightfully,5,63.664131,11
Discoursed,5,88.386093,8
Upon,5,96.809135,10
as,5,90.723282,5
Beautified,5,72.312927,8
and,5,96.900497,8
Well,5,96.704445,8
Furnished,5,37.869602,8
Divers,5,75.586868,7
,4,-1.0,11
‘Good,5,64.024582,8
and,5,96.51667,8
Commendable,5,94.628281,8
in,5,53.595718,5
the,5,93.235176,8
Gesiht,5,86.138184,8
of,5,93.171837,8
Men,5,96.007828,7
of,5,96.843079,8
That,5,96.935143,8
Most,5,93.222809,7
Lamentable,5,68.793701,8
Wepens,5,86.629005,10
Fasoun,5,90.458199,7
Designer,5,96.719162,10
Lars,5,93.277679,7
Powderdry,5,70.223068,10
and,5,70.223068,8
,4,-1.0,10
What,5,51.283066,8
Nearly,5,96.179604,10
Became,5,95.539619,7
of,5,96.975822,8
Him,5,96.263863,7
Due,5,93.057144,7
to,5,90.861664,6
Certain,5,94.839096,8
Most,5,96.814377,7
Dreadful,5,67.358711,8
Forces.,5,17.435524,7
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,37
,3,-1.0,37
,4,-1.0,11
The,5,93.305847,8
guidance-system,5,89.586639,11
of,5,93.279907,8
weapons-item,5,35.693581,9
"207,",5,96.700592,9
which,5,96.721611,8
consists,5,82.250656,6
of,5,82.250656,8
six,5,93.365868,5
hundred,5,96.799347,8
miniaturized,5,95.102013,8
electronic,5,74.045029,8
"components,",5,69.359711,9
can,5,91.9673,5
,4,-1.0,11
best,5,63.523964,8
be,5,63.523964,8
plowshared,5,91.868828,11
asa,5,87.682846,5
lacquered,5,94.573463,11
ceramic,5,92.56356,5
owl,5,84.914383,8
which,5,96.65036,8
appears,5,66.120514,8
to,5,66.120514,6
the,5,92.635483,8
unenlightened,5,92.825851,11
only,5,96.7099,10
