text,level,conf,height
,1,-1.0,792
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
file,5,27.731026,21
frah/Phulsp,5,0.0,9
20K,5,81.822815,21
Dick/Dick%,5,43.569416,21
20D0%%20,5,43.569416,21
Androids,5,55.629787,21
20Dream‘%200f%,5,4.966949,21
20Blectric%,5,56.254982,21
20Sheep,5,56.254982,21
txt,5,60.202972,5
,2,-1.0,498
,3,-1.0,44
,4,-1.0,8
A,5,67.660202,6
nerzy,5,49.362457,6
Little,5,68.682716,6
surge,5,76.075348,7
of,5,96.227882,6
electricity,5,94.974686,8
piped,5,96.624847,8
by,5,93.837868,8
automatic,5,37.271873,5
elarm,5,38.008835,6
from,5,86.227707,6
the,5,92.959984,6
mood,5,87.418182,6
orgen,5,87.955849,7
beside,5,94.81768,6
his,5,93.29287,6
bed,5,91.273949,6
,4,-1.0,8
aakened,5,45.011288,6
Rick,5,93.001991,6
"Deckard,",5,81.955399,6
Surprised,5,82.49041,8
—,5,63.34383,1
st,5,52.934681,5
glways,5,33.221657,8
surprised,5,91.729568,8
him,5,93.755157,6
to,5,95.503609,5
find,5,92.924774,6
hinsel®,5,75.606674,6
awake,5,55.208267,6
without,5,95.06443,6
prior,5,82.650932,7
,4,-1.0,8
Rotice,5,0.0,5
—,5,49.634609,1
he,5,87.544754,6
rose,5,90.603806,5
fron,5,85.470978,6
the,5,90.632599,6
"bed,",5,67.122345,7
stood,5,76.336235,6
up,5,95.896065,7
in,5,94.863167,4
his,5,58.47044,6
multicolored,5,72.30217,6
"pajemss,",5,35.845474,6
and,5,94.939232,6
stretched.,5,64.538437,6
"Now,",5,88.684128,7
in,5,81.06292,4
her,5,91.978271,6
,4,-1.0,8
"bed,",5,82.683945,6
Ms,5,62.26759,6
wife,5,92.874702,6
Iren,5,75.347824,6
opened,5,96.481682,8
her,5,92.34761,6
"grey,",5,79.007523,6
unnerry,5,64.446823,6
"eyes,",5,93.514557,6
"blinked,",5,85.040085,7
then,5,95.152008,6
groaned,5,46.288296,8
and,5,96.577827,6
shut,5,88.041077,6
her,5,88.699615,6
eyes,5,82.563446,6
"again,",5,80.08046,6
,3,-1.0,43
,4,-1.0,8
He,5,87.794617,6
seated,5,91.369186,6
hinsel®,5,54.647072,6
beside,5,93.702339,6
"ner,",5,80.388702,7
bent,5,93.885437,6
over,5,94.744331,5
"her,",5,95.832451,6
and,5,96.210869,6
explained,5,91.165169,8
softly.,5,50.980804,8
"""If",5,42.363266,6
