text,level,conf,height
,1,-1.0,792
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
filer,5,0.0,22
Philip,5,4.937889,22
20K.,5,37.180542,22
Dick/Philip®,5,37.697605,8
20K,5,50.381943,22
%,5,50.381943,22
20Dick%20-%,5,48.916183,8
27Time%,5,13.247536,22
"200ut""",5,5.55249,22
2000,5,46.576267,22
20FoHn%,5,0.0,22
201,5,0.0,6
LAxt,5,0.0,6
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
by,5,89.671082,8
PHILIP,5,87.995483,6
K.,5,64.557922,6
DICK,5,68.808517,6
(1959),5,83.492859,7
,2,-1.0,20
,3,-1.0,20
,4,-1.0,8
[VERSION,5,64.817795,7
1.1,5,82.33654,6
(ape,5,74.855026,8
04,5,89.041,6
02).,5,79.378639,7
TE,5,80.543839,6
you,5,93.824036,7
find,5,34.284065,6
and,5,96.873398,6
correct,5,75.708565,5
errors,5,86.357391,4
in,5,93.357231,4
the,5,95.855347,6
"text,",5,94.633133,6
please,5,55.596241,8
update,5,93.822372,8
the,5,96.722542,6
version,5,88.005409,5
,4,-1.0,8
nusber,5,24.812027,6
by,5,88.491989,8
0.1,5,92.013527,6
ond,5,81.412598,6
redistribute.),5,70.933197,7
,2,-1.0,20
,3,-1.0,20
,4,-1.0,8
copyright,5,79.967949,8
1959,5,87.805099,6
by,5,87.805099,8
Philip,5,57.758888,8
K.,5,85.175964,6
Dick.,5,81.50753,6
,4,-1.0,8
Reprinted,5,95.032318,8
by,5,81.298386,8
arrangement,5,0.0,7
with,5,93.394356,6
the,5,91.972321,6
author's,5,71.235748,6
agent,5,96.567238,7
,2,-1.0,534
,3,-1.0,68
,4,-1.0,8
winter,5,91.650597,5
potatoes,5,55.573486,7
to,5,94.554253,5
the,5,94.554253,6
vegetable,5,94.671646,8
section,5,88.910851,5
of,5,92.07933,6
the,5,96.818703,6
produce,5,96.353058,8
department.,5,45.485096,8
In,5,91.242241,6
the,5,96.196342,6
almost,5,59.423302,6
empty,5,37.294483,7
bin,5,94.176514,6
he,5,94.176514,6
,4,-1.0,8
began,5,0.0,8
dropping,5,74.726669,8
the,5,96.823647,6
new,5,81.384987,5
"spuds,",5,50.177498,8
inapecting,5,73.548393,7
every,5,93.234718,6
tenth,5,73.437309,6
one,5,96.339943,4
for,5,82.977386,6
split,5,82.977386,8
skin,5,93.230095,6
and,5,95.259468,6
rot.,5,79.558311,5
One,5,94.82872,6
big,5,95.361809,8
spud,5,66.570435,8
