text,level,conf,height
,1,-1.0,1600
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,162
,3,-1.0,162
,4,-1.0,74
HEE,5,0.0,71
ENSLOWE,5,0.0,74
,4,-1.0,58
THE,5,96.059517,58
,2,-1.0,484
,3,-1.0,484
,4,-1.0,484
 ,5,95.0,484
,2,-1.0,49
,3,-1.0,49
,4,-1.0,49
THE,5,96.725288,45
WALL,5,67.448112,47
OF,5,96.481804,47
NIGH.,5,67.710144,60
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
BOOK,5,96.521324,27
TWO,5,54.801186,27
>,5,54.801186,4
,2,-1.0,253
,3,-1.0,253
,4,-1.0,213
  ,5,95.0,213
,4,-1.0,40
  ,5,95.0,40
,2,-1.0,91
,3,-1.0,91
,4,-1.0,27
HARPER,5,96.483398,27
,4,-1.0,35
Voyager,5,96.206696,35
,2,-1.0,286
,3,-1.0,282
,4,-1.0,47
>,5,66.769745,42
©,5,40.769768,33
*,5,56.210407,9
,4,-1.0,36
ee”,5,40.326351,36
,4,-1.0,109
“Helen,5,92.938835,23
Lowe’s,5,92.418205,23
wring,5,68.250046,109
En,5,34.151436,99
gerenth,5,9.975311,109
to\strength.,5,53.282322,30
,4,-1.0,36
Powerful,5,95.439034,24
story,5,92.310287,27
lines,5,84.26442,25
"characters,",5,53.954956,35
,2,-1.0,60
,3,-1.0,60
,4,-1.0,60
and,5,96.533783,23
a,5,92.721382,39
vividly,5,92.721382,30
imagined,5,96.448441,41
world.”,5,78.76329,25
Julie,5,36.546406,60
"Marillier,",5,80.547867,52
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
6,5,44.872581,25
