text,level,conf,height
,1,-1.0,842
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
WINDHAVEN,5,32.872078,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
George,5,56.809311,11
RR,5,92.43821,8
Martin,5,61.746063,8
and,5,96.590805,8
Lisa,5,96.564034,28
Tut,5,30.091507,8
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Lisa,5,64.973602,28
Tut:,5,49.507809,28
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
‘This,5,78.150864,8
book,5,68.666664,8
is,5,68.666664,6
dedicated,5,69.781708,8
with,5,96.785149,8
love,5,89.196831,8
and,5,89.196831,8
gratitude,5,81.241554,11
to,5,87.842354,7
my,5,91.345284,9
mother,5,55.468529,8
and,5,87.313103,8
"father,",5,71.096863,9
even,5,48.94331,6
if,5,41.236862,28
they,5,41.236862,11
dont,5,79.249786,8
read,5,67.00386,8
it,5,67.00386,7
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
George,5,73.066086,11
R.R.,5,47.112495,8
Marin:,5,79.42395,8
,2,-1.0,40
,3,-1.0,40
,4,-1.0,11
“This,5,73.602539,8
ones,5,27.531143,6
for,5,87.636024,8
Elizabeth,5,32.724007,8
and,5,96.768242,8
Anne,5,96.040451,8
and,5,96.912369,8
Mary,5,96.85878,11
Kaye,5,96.571396,11
and,5,94.631004,8
Carol,5,88.990967,8
und,5,70.792038,8
Meredyth,5,92.458328,11
and,5,93.310417,8
Ana,5,73.838165,8
and,5,84.232536,8
Yvonne,5,94.152756,8
and,5,87.461349,8
,4,-1.0,11
the,5,93.170906,8
rest,5,88.551712,7
of,5,89.30822,8
my,5,96.938118,9
Courier,5,67.786392,8
"troublemakers,",5,62.784771,9
n,5,75.777344,6
the,5,84.427071,8
hope,5,69.673843,11
that,5,51.867577,8
they,5,51.867577,11
will,5,96.4263,8
continue,5,27.937492,7
to,5,64.004539,7
make,5,92.070557,8
"trouble,",5,55.161118,9
ask,5,55.161118,8
"questions,",5,79.145218,10
,4,-1.0,11
and,5,63.437481,8
get,5,57.018703,10
thrown,5,57.018703,8
out,5,64.439423,7
of,5,62.744881,28
offices.,5,62.744881,8
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Prologue,5,94.268372,11
,2,-1.0,23
,3,-1.0,23
,4,-1.0,8
PARTONE,5,87.149811,8
,4,-1.0,8
Stoms,5,31.786552,8
,2,-1.0,8
