text,level,conf,height
,1,-1.0,792
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
PROLOGUE,5,78.428825,7
,2,-1.0,618
,3,-1.0,9
,4,-1.0,9
<4,5,42.357655,28
"rogue,",5,45.5378,28
an,5,45.5378,28
aimless,5,51.564655,28
"wanderer,",5,1.015305,28
creation’,5,31.138901,28
castaway;,5,42.473457,7
this,5,42.473457,28
world,5,41.757996,28
was,5,57.452477,5
all,5,57.452477,28
hose,5,57.813221,28
things.,5,27.375992,9
,3,-1.0,44
,4,-1.0,9
For,5,61.175362,7
uncounted,5,61.175362,7
centric,5,32.496246,5
it,5,72.48114,5
ha,5,69.399673,7
ben,5,76.290909,7
fling,5,42.895103,9
"alne,",5,37.929886,8
without,5,61.647934,7
purpose,5,61.647934,7
ling,5,52.721581,9
tough,5,39.357643,9
the,5,50.366714,7
cold,5,50.366714,7
only,5,37.644215,9
places,5,29.070427,9
between,5,70.1194,7
,4,-1.0,9
‘he,5,44.97406,7
suns.,5,66.044968,5
Generations,5,62.023209,7
of,5,58.415421,7
stars,5,46.22517,6
had,5,71.630974,7
suceeoded,5,30.946663,7
cach,5,85.986282,7
oe,5,16.167519,7
in,5,54.06551,5
stately,5,54.06551,9
sweeps,5,60.316257,7
across,5,48.933796,5
its,5,62.414055,5
area,5,46.598793,7
"skis,",5,46.598793,7
It,5,56.682518,7
belonged,5,56.682518,9
10,5,78.205856,28
none,5,37.591595,28
,4,-1.0,9
of,5,48.082157,7
"them,",5,48.082157,7
It,5,47.375938,28
was,5,47.375938,5
a,5,84.269974,5
world,5,62.490479,7
in,5,51.636314,5
and,5,51.636314,7
of,5,78.73143,7
"sl,",5,57.443584,8
emir.,5,57.443584,6
Ina,5,68.427399,7
sense,5,71.951569,5
was,5,52.818176,5
not,5,48.614304,6
even,5,48.614304,5
par,5,52.726101,7
of,5,83.232849,7
the,5,51.501694,7
gay;,5,11.859581,9
its,5,58.80191,5
tumbling,5,72.016998,9
path,5,64.555046,9
eu,5,72.515411,6
,4,-1.0,9
‘hvough,5,0.0,9
the,5,58.410713,7
galactic,5,58.410713,9
plane,5,71.730072,9
ikea,5,40.896744,7
nail,5,40.896744,28
driven,5,1.286301,7
trough,5,34.148781,9
around,5,34.148781,28
wooden,5,90.845085,28
tabletop.,5,47.572807,9
Iwas,5,47.572807,7
part,5,67.441605,8
oF,5,53.964611,7
nating,5,39.021225,9
,3,-1.0,21
,4,-1.0,9
"""And",5,77.087471,7
nothing,5,50.474262,9
was,5,50.474262,5
vty,5,30.241135,7
close,5,30.241135,7
at,5,62.502647,6
hand.,5,46.118149,7
In,5,46.118149,7
the,5,48.350716,7
dawn,5,48.350716,7
of,5,64.269859,28
una,5,75.288925,7
"soy,",5,52.745518,9
the,5,52.745518,28
rogue,5,75.378235,28
word,5,68.59816,7
piteed,5,44.979065,9
«curtain,5,49.140873,6
of,5,69.33194,7
interstellar,5,39.689236,7
,4,-1.0,9
ust,5,43.235367,7
that,5,58.791981,7
covered,5,58.791981,7
a,5,72.478851,28
ting,5,57.087555,9
sal,5,76.897346,7
area,5,68.102806,5
ear,5,62.601044,5
the,5,62.601044,7
up-edge,5,48.768555,9
ofthe,5,52.322468,7
galaxy’,5,36.927666,9
gat,5,36.927666,7
lens.,5,46.654655,7
A,5,80.855995,7
handful,5,64.780182,7
of,5,67.172356,7
sts,5,47.229366,28
lay,5,36.437469,9
