text,level,conf,height
,1,-1.0,842
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
"sDeagons,""",5,0.763062,8
said,5,92.783089,6
Mollander.,5,75.154266,6
He,5,96.059235,6
snatched,5,94.705231,6
4,5,56.75811,5
withered,5,95.538719,6
apple,5,90.090057,8
off,5,95.525986,6
the,5,96.021805,6
ground,5,94.563232,8
and,5,95.534676,6
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
tossed,5,71.821487,6
it,5,83.200981,5
hend,5,75.587616,6
to,5,88.554825,5
hand.,5,90.868942,6
"""Throw",5,86.11821,6
the,5,96.53199,6
"apple,""",5,90.100212,8
urged,5,88.010323,8
Alleras,5,87.915794,6
the,5,96.893173,6
Sphinx.,5,74.920341,8
Lie,5,40.360256,6
slipped,5,65.061073,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
fan,5,48.628654,5
arrow,5,44.374542,5
from,5,95.109299,6
his,5,53.518272,6
quiver,5,95.698013,7
and,5,83.152695,6
nocked,5,68.006958,6
it,5,86.694733,5
to,5,94.779495,5
his,5,69.51944,6
bowst,5,0.0,6
ring,5,0.0,7
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
NT,5,48.905098,6
should,5,84.84008,6
Like,5,91.623764,6
to,5,86.664124,5
see,5,82.04287,5
4,5,55.521732,5
dragon.”,5,72.892921,8
Roone,5,86.207695,6
was,5,93.213585,5
the,5,95.479118,6
youngest,5,90.99086,7
of,5,90.99086,6
"then,",5,90.221649,7
a,5,50.310989,5
chunky,5,80.517342,8
boy,5,96.248375,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
And,5,90.22403,6
I,5,90.766479,6
should,5,87.840805,6
Like,5,42.281548,6
to,5,95.441391,5
sleep,5,93.158691,8
with,5,93.305283,6
Rose\!'s,5,37.047012,7
arms,5,12.590981,5
around,5,79.114136,6
"me,",5,86.724701,6
Pate,5,95.692657,6
thought.,5,93.430023,8
Me,5,95.260101,6
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
shifted,5,73.293297,6
restlessly,5,69.919373,6
on,5,94.876839,5
the,5,95.167694,6
bench.,5,91.336861,6
By,5,91.166931,8
the,5,91.953796,6
morrow,5,91.547173,5
the,5,96.205612,6
girl,5,93.173439,8
could,5,96.091858,6
well,5,94.168884,6
be,5,92.082489,6
Ais.,5,56.58144,6
/,5,86.234161,6
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
He,5,76.221802,6
could,5,90.333755,6
hear,5,92.538811,6
Enna's,5,29.727585,6
laughter,5,71.627914,8
coming,5,95.860931,7
through,5,93.42408,8
a,5,64.662781,5
shuttered,5,93.288704,6
