text,level,conf,height
,1,-1.0,792
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
file:1FfrahiGeorge®:,5,0.0,9
"20,",5,3.57515,21
"20R,%",5,46.337467,6
20Martinv,5,17.79248,21
"Martin,",5,44.995834,21
20George%,5,63.792732,8
"20K,",5,32.698318,21
20R,5,56.314178,6
%,5,56.314178,6
20-%,5,58.311077,21
20Wiklcards‘i,5,0.0,6
209%,5,70.296768,21
20-%,5,44.754822,21
20Jokertiown'%20Shusfie,5,0.0,6
Wt,5,37.949806,5
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Edited,5,71.140518,6
by,5,94.209755,8
George,5,87.665474,8
R-R.,5,0.0,6
Martin,5,63.244041,6
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,20
,3,-1.0,20
,4,-1.0,8
The,5,78.232071,6
Temptation,5,63.908535,8
of,5,96.176628,6
Hieronymus,5,87.861633,8
Bloat,5,76.430359,6
,4,-1.0,8
by,5,91.134949,8
Stephen,5,92.481613,8
Leigh,5,75.207458,8
,2,-1.0,20
,3,-1.0,20
,4,-1.0,8
I,5,44.044796,6
don't,5,47.283516,6
know,5,92.22245,6
why,5,89.735512,8
I'm,5,84.387573,6
starting,5,89.397972,7
this,5,89.892197,6
or,5,89.192047,4
whet,5,83.996956,6
I'm,5,87.062737,6
going,5,92.672874,7
te,5,88.278694,5
do,5,88.714256,6
with,5,88.714256,6
it,5,95.532578,5
or,5,89.047951,4
just,5,51.228455,7
who,5,78.776703,6
,4,-1.0,8
kets,5,39.649807,5
I'm,5,71.347366,6
talking,5,68.344406,8
to.,5,87.448914,5
I,5,72.012077,6
guess,5,79.567184,7
...,5,78.981361,28
I,5,76.664291,6
guess,5,76.664291,7
the,5,96.529755,6
reason,5,59.776665,5
ig,5,79.47625,4
that,5,95.787247,6
I,5,66.74588,6
want,5,69.979584,5
someone,5,74.892426,5
to,5,84.540672,5
,2,-1.0,572
,3,-1.0,20
,4,-1.0,8
remenber,5,42.136341,6
what,5,91.374733,6
happened,5,85.191467,8
here,5,96.017242,6
when,5,93.677277,6
it's,5,62.310062,6
over.,5,88.824089,5
Lately,5,95.521858,8
I've,5,61.508591,6
been,5,91.413773,6
thinking,5,95.278709,8
thet,5,95.666946,6
the,5,95.666946,6
,4,-1.0,8
Rox,5,75.809113,6
won't,5,83.956818,6
Last,5,31.556305,6
Teng.,5,33.141052,8
,3,-1.0,80
,4,-1.0,8
