text,level,conf,height
,1,-1.0,535
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
“MEDICAL,5,39.654045,31
INTELLIGENCE,5,92.199997,31
UNIT,5,96.28231,9
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Shamim,5,96.009468,9
I.,5,93.014275,8
Ahmad,5,96.291733,10
and,5,96.939415,10
Sandra,5,85.618629,9
H.,5,85.618629,8
Kirk,5,93.910645,9
,2,-1.0,53
,3,-1.0,53
,4,-1.0,21
Molecular,5,96.497963,21
Mechanisms,5,96.21521,21
,4,-1.0,21
of,5,96.601097,21
Fanconi,5,96.333252,19
Anemia,5,96.302498,19
,2,-1.0,228
,3,-1.0,228
,4,-1.0,228
 ,5,95.0,228
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
©,5,48.355347,26
Springer,5,95.706139,20
,2,-1.0,39
,3,-1.0,39
,4,-1.0,39
 ,5,95.0,39
