text,level,conf,height
,1,-1.0,846
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
Contents,5,96.834267,20
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
Preice,5,35.447792,7
to,5,38.942013,5
Ssth,5,0.0,7
Edition,5,44.741138,7
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
Preface,5,81.876755,7
tothe,5,69.767418,7
Fir,5,66.923058,7
Eton,5,77.252975,7
,2,-1.0,31
,3,-1.0,31
,4,-1.0,11
Ackooedgments,5,20.476654,11
,4,-1.0,11
Chapter,5,37.826233,11
1,5,42.204319,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Chapter,5,51.67963,11
2,5,81.417702,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Chapter,5,57.948013,11
3,5,83.099831,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Chapter,5,61.993912,11
4,5,72.624008,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Chapter,5,57.006271,11
5,5,74.153748,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Chapter,5,59.8218,11
&,5,71.25882,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Chapter,5,48.170563,11
7,5,48.170563,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,133
,3,-1.0,133
,4,-1.0,8
Introduction,5,95.532059,8
and,5,95.532059,28
Reader's,5,36.777298,8
Guide,5,34.945816,8
,4,-1.0,10
Inclting,5,15.804657,10
Rationale,5,60.580326,7
for,5,60.580326,7
Label,5,11.691925,7
and,5,11.691925,7
Abbeviatione,5,18.567688,15
,4,-1.0,12
External,5,95.680885,8
Morphology,5,96.955826,12
of,5,96.852257,28
the,5,96.852257,8
Central,5,96.725571,8
Nervous,5,94.148071,8
System.,5,46.397453,12
,4,-1.0,10
“The,5,67.544388,7
Spinal,5,76.838074,10
Cor,5,68.608337,7
