text,level,conf,height
,1,-1.0,681
,2,-1.0,681
,3,-1.0,681
,4,-1.0,83
  ,5,95.0,83
 ,5,95.0,20
,4,-1.0,58
 ,5,95.0,58
,4,-1.0,130
   ,5,95.0,130
 ,5,95.0,45
,4,-1.0,32
 ,5,95.0,32
 ,5,95.0,32
,4,-1.0,301
   ,5,95.0,301
,4,-1.0,33
 ,5,95.0,33
,4,-1.0,41
 ,5,95.0,41
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
PERSPECTIVES,5,96.839333,10
IN,5,96.991852,9
BIOANALYSIS,5,96.376381,9
,2,-1.0,140
,3,-1.0,140
,4,-1.0,23
NEW,5,96.887703,22
HIGH,5,95.911179,23
THROUGHPUT,5,95.70858,23
,4,-1.0,22
TECHNOLOGIES,5,96.18232,22
,4,-1.0,27
FOR,5,96.769096,22
DNA,5,95.307663,22
SEQUENCING,5,95.307663,27
,4,-1.0,22
AND,5,96.231789,22
GENOMICS,5,95.998024,22
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
KEITH,5,89.617737,11
R.,5,89.617737,11
MITCHELSON,5,90.439308,12
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
  ,5,95.0,36
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
(EDITOR),5,66.477356,17
