text,level,conf,height
,1,-1.0,680
,2,-1.0,526
,3,-1.0,526
,4,-1.0,526
   ,5,95.0,526
,2,-1.0,210
,3,-1.0,183
,4,-1.0,31
NEW,5,96.543785,31
PERSPECTIVES,5,96.503418,33
IN,5,96.524834,31
,4,-1.0,32
MONITORING,5,96.572083,32
,4,-1.0,31
LUNG,5,96.423546,31
INFLAMMATION,5,95.848167,44
,4,-1.0,54
Analysis,5,88.466331,43
"OfjExhaled,",5,38.718658,53
,4,-1.0,55
Breath,5,72.865677,24
Condensate),5,33.562515,55
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Epiteo,5,15.805817,11
ay,5,57.099529,8
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
Paolo,5,93.106186,21
Montuschi,5,92.833755,22
,2,-1.0,13
,3,-1.0,41
,4,-1.0,13
CRC,5,94.338379,13
PRESS,5,96.32766,12
