text,level,conf,height
,1,-1.0,738
,2,-1.0,132
,3,-1.0,132
,4,-1.0,26
NEW,5,96.08342,22
TECHNIQUES,5,95.820938,26
IN,5,96.42804,22
,4,-1.0,23
INTERVENTIONAL,5,95.979034,23
,4,-1.0,23
MUSCULOSKELETAL,5,96.554703,23
,4,-1.0,23
RADIOLOGY,5,96.166817,23
,2,-1.0,274
,3,-1.0,274
,4,-1.0,274
 ,5,95.0,274
,2,-1.0,70
,3,-1.0,70
,4,-1.0,17
Edited,5,96.939201,14
by,5,96.248695,17
,4,-1.0,15
Mark,5,92.916214,15
E.,5,92.127167,15
Schweitzer,5,96.273613,15
,4,-1.0,15
Jean-Denis,5,92.213142,15
Laredo,5,96.607399,15
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
informa,5,96.831161,29
