text,level,conf,height
,1,-1.0,792
,2,-1.0,76
,3,-1.0,76
,4,-1.0,76
Eoin,5,17.149704,76
Pharmacologyp,5,59.538277,62
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
harmacokinetics,5,84.427917,15
,2,-1.0,247
,3,-1.0,243
,4,-1.0,14
eS,5,0.0,14
ersrreters,5,0.0,8
,4,-1.0,17
eee,5,26.54174,6
ee,5,0.0,8
eaene|,5,0.0,8
(oe,5,36.753174,39
ae,5,31.828468,6
,4,-1.0,13
pharmacekineties,5,51.065002,8
Study,5,95.429268,8
of,5,96.372208,6
drug,5,88.381157,8
actions,5,93.588211,5
as,5,90.038376,4
they,5,90.038376,6
move,5,96.837791,4
through,5,96.477768,8
the,5,90.947952,6
|,5,62.573692,21
|,5,62.573692,21
«,5,56.349354,3
Parentoral,5,66.073227,6
_,5,0.0,6
*,5,0.0,6
,4,-1.0,17
eee,5,21.057518,17
cae,5,24.282257,15
(a,5,23.824669,14
oe,5,23.98391,14
omen,5,27.935265,14
,4,-1.0,8
peepee,5,3.117104,8
pe,5,25.202263,6
,4,-1.0,15
gre,5,36.494999,15
(oeeueice,5,0.0,6
esa,5,0.0,8
,4,-1.0,16
Je,5,32.609909,15
eee,5,30.556374,16
Seti,5,28.881744,8
,4,-1.0,15
og,5,12.769058,14
ee,5,1.445229,8
SERA,5,0.0,6
,4,-1.0,8
Gee,5,20.693398,3
ete,5,29.67485,6
,4,-1.0,8
ee,5,12.962486,8
ees,5,25.2938,8
,4,-1.0,15
foe,5,20.155296,14
seca,5,25.636795,15
erste,5,0.0,15
bins,5,21.944336,15
,4,-1.0,29
Rare,5,36.863293,21
protein,5,32.702263,29
id,5,67.143127,21
fe,5,33.288147,26
‘Sig,5,5.383957,29
cn,5,55.932545,13
in,5,54.599342,15
to,5,76.955925,28
prot,5,16.670685,28
that,5,55.019135,28
wil,5,71.662582,6
ender,5,71.252075,15
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
harmacodynamics,5,51.15517,15
reo,5,10.72213,18
,2,-1.0,64
,3,-1.0,60
,4,-1.0,25
pepe,5,11.883247,25
ee,5,29.646217,42
eee),5,18.963913,25
,4,-1.0,32
peed,5,32.831741,32
uci,5,6.93573,14
store,5,75.406174,5
dogs,5,43.979057,8
,2,-1.0,332
,3,-1.0,332
,4,-1.0,286
   ,5,95.0,286
,4,-1.0,46
   ,5,95.0,46
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
  ,5,95.0,38
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
 ,5,95.0,36
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
 ,5,95.0,36
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
 ,5,95.0,36
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
 ,5,95.0,36
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
 ,5,95.0,36
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
 ,5,95.0,38
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Receptors,5,4.84668,8
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
peace,5,0.0,22
gaia,5,10.408104,38
tr,5,0.0,15
eect,5,19.633751,22
|,5,73.725952,38
|,5,65.375076,38
al,5,24.843376,15
ung,5,34.905685,8
a,5,31.921349,6
sv,5,37.727043,4
no,5,30.157516,6
og,5,30.558479,8
tg,5,54.860962,8
,2,-1.0,45
,3,-1.0,35
,4,-1.0,11
Rape,5,0.0,8
ene,5,36.530895,6
SERS,5,29.661186,6
lent,5,19.995995,6
ogee,5,30.906876,6
mal,5,26.69278,6
conprn,5,0.0,8
,4,-1.0,8
TEESE,5,47.302505,6
ge,5,30.693451,8
tte,5,34.038612,6
eh,5,20.984993,6
te,5,8.618713,8
ag,5,37.519974,8
um,5,36.964767,8
,4,-1.0,36
Sree,5,0.0,36
ie,5,53.54882,6
MaDe,5,0.0,15
maleate,5,0.0,36
aalet,5,0.0,36
Pe,5,15.689484,15
soa,5,25.085915,6
erat,5,47.02916,6
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
 ,5,95.0,26
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
  ,5,95.0,18
,2,-1.0,44
,3,-1.0,44
,4,-1.0,11
P,5,0.0,3
Bhecite,5,0.0,6
Dare,5,31.121407,6
(60),5,42.32193,7
Amount,5,59.13139,6
of,5,59.13139,6
drug,5,70.662804,8
tht,5,75.596138,6
produce,5,28.0979,8
2,5,39.413414,4
therapeutic,5,46.166656,8
resulta,5,24.907906,28
deuess,5,0.0,28
th,5,59.436436,6
lod,5,50.628529,6
eee,5,68.97113,6
os,5,47.011536,6
dug,5,64.171722,8
by,5,64.677246,28
one,5,43.992252,4
hal,5,43.992252,6
,4,-1.0,16
+,5,70.563004,3
Therap,5,0.0,15
Index,5,28.973389,14
ti,5,24.945518,27
Margin,5,49.747993,8
of,5,74.834213,6
safety;,5,66.730919,8
ratio,5,59.017044,5
between,5,38.759102,6
the,5,80.235199,6
TD,5,90.095215,6
and,5,71.972084,6
|,5,71.972084,27
|,5,89.903114,27
"""",5,28.927902,3
conceteouen,5,0.0,14
shar,5,24.951286,27
halves,5,35.590622,14
net,5,20.117889,6
snus,5,19.996078,4
uunen,5,0.0,4
Sandy,5,39.8312,8
sate,5,75.527824,5
,2,-1.0,24
,3,-1.0,24
,4,-1.0,15
+,5,63.626148,3
The,5,80.003448,6
higher,5,49.002457,8
the,5,85.144623,6
TL,5,81.716431,7
the,5,81.716431,6
sfer,5,51.965023,6
the,5,94.823441,6
ug,5,75.156639,8
is,5,69.434219,4
considera,5,41.579521,6
to,5,89.117859,5
be;,5,77.941254,6
in,5,77.941254,4
general.,5,62.882732,8
|,5,62.882732,25
|,5,78.213486,25
°,5,11.987007,11
Srgate,5,29.039276,15
that,5,94.546135,25
excrete,5,34.58107,13
druge,5,46.665955,25
"Kiceys,",5,0.0,25
"lange,",5,34.303291,25
sweat,5,47.505093,25
"glands,",5,65.880997,25
mammary,5,55.745205,15
,4,-1.0,8
Soe,5,39.741226,7
aS,5,38.855362,8
eee,5,26.835968,8
‘Sate,5,44.892128,8
ainay,5,24.559868,8
"gan,",5,35.480774,8
sm,5,46.070919,6
and,5,46.070919,6
lace,5,36.33136,6
,2,-1.0,524
,3,-1.0,524
,4,-1.0,524
 ,5,95.0,524
,2,-1.0,501
,3,-1.0,501
,4,-1.0,501
 ,5,95.0,501
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,131
,3,-1.0,131
,4,-1.0,131
   ,5,95.0,131
,2,-1.0,49
,3,-1.0,31
,4,-1.0,22
-,5,0.0,34
BERHET,5,0.0,6
se,5,33.11235,8
reo,5,33.313171,8
eee,5,21.882736,8
ee,5,41.549358,8
,4,-1.0,8
tea,5,39.203648,4
preven,5,9.397743,8
rug,5,37.520943,28
sane,5,0.0,28
