text,level,conf,height
,1,-1.0,680
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,112
,3,-1.0,112
,4,-1.0,19
PHYSICAL,5,96.322601,19
THERAPY,5,96.165749,19
,4,-1.0,19
PERSPECTIVES,5,96.295105,19
IN,5,95.890511,19
THE,5,95.775482,19
21ST,5,96.837135,19
,4,-1.0,19
CENTURY,5,93.241898,19
—,5,91.459671,3
CHALLENGES,5,96.863174,19
,4,-1.0,19
AND,5,96.636688,19
POSSIBILITIES,5,96.648666,19
,2,-1.0,30
,3,-1.0,30
,4,-1.0,15
Edited,5,96.618103,12
by,5,96.932968,15
Josette,5,90.119705,11
Bettany-Saltikov,5,88.401077,15
,4,-1.0,12
and,5,96.596535,12
Berta,5,93.284378,11
Paz-Lourido,5,92.650146,12
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
INTECHOPEN.COM,5,91.665817,9
