text,level,conf,height
,1,-1.0,648
,2,-1.0,231
,3,-1.0,231
,4,-1.0,231
 ,5,95.0,231
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,149
,3,-1.0,149
,4,-1.0,33
POLYAMINE,5,90.771561,32
CELL,5,95.239365,33
SIGNALING,5,96.494102,33
,4,-1.0,23
"Physiology,",5,95.414925,23
"Pharmacology,",5,96.788528,23
and,5,96.788528,17
Cancer,5,94.367538,17
Research,5,96.716446,17
,4,-1.0,19
Edited,5,94.52253,14
by,5,95.804482,19
,4,-1.0,29
Jian-Ying,5,90.215256,29
Wang,5,96.992554,27
and,5,95.472382,17
Robert,5,96.917542,22
A.,5,93.233459,21
"Casero,",5,93.233459,25
Jr.,5,96.52417,23
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,250
,3,-1.0,250
,4,-1.0,250
 ,5,95.0,250
