text,level,conf,height
,1,-1.0,696
,2,-1.0,47
,3,-1.0,47
,4,-1.0,24
Jozef,5,93.17617,19
Rovensky,5,92.789803,23
-,5,63.26363,4
Burkhard,5,92.235474,18
F.,5,92.614914,18
Leeb,5,90.352425,18
-,5,82.255943,4
Howard,5,96.340912,18
Bird,5,96.340912,18
,4,-1.0,21
Viera,5,90.816742,18
Stvrtinovd,5,55.29726,21
-,5,72.352188,4
Richard,5,81.943375,18
Imrich,5,81.943375,18
Editors,5,92.106606,16
,2,-1.0,150
,3,-1.0,150
,4,-1.0,53
Polymyalgia,5,93.133827,53
,4,-1.0,42
Rheumatica,5,92.804375,42
and,5,96.356079,42
,4,-1.0,41
Giant,5,96.961128,41
Cell,5,93.057388,41
Arteritis,5,92.73735,40
,2,-1.0,252
,3,-1.0,252
,4,-1.0,67
  ,5,95.0,67
,4,-1.0,185
  ,5,95.0,113
 ,5,95.0,131
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
D,5,0.0,24
SpringerWien,5,70.100662,19
NewYork,5,70.100662,15
