text,level,conf,height
,1,-1.0,927
,2,-1.0,416
,3,-1.0,416
,4,-1.0,416
 ,5,95.0,416
,2,-1.0,35
,3,-1.0,35
,4,-1.0,35
Sue,5,92.330254,26
Roffey,5,92.330254,35
Editor,5,95.288025,27
,2,-1.0,147
,3,-1.0,147
,4,-1.0,56
Positive,5,96.969521,56
,4,-1.0,73
Relationships,5,96.969528,73
,2,-1.0,31
,3,-1.0,33
,4,-1.0,31
dence,5,96.807907,26
Based,5,95.286613,27
Practice,5,96.474197,27
across,5,96.474197,20
the,5,96.577454,27
World,5,96.860596,27
,2,-1.0,511
,3,-1.0,511
,4,-1.0,397
   ,5,95.0,397
,4,-1.0,114
  ,5,95.0,114
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
al,5,38.071804,47
Springer,5,96.81649,30
