text,level,conf,height
,1,-1.0,932
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
NOLOGY:,5,0.0,25
PHARMACEUTICAL,5,96.596451,21
ASPECTS,5,96.251221,21
,2,-1.0,238
,3,-1.0,238
,4,-1.0,238
 ,5,95.0,238
,2,-1.0,231
,3,-1.0,167
,4,-1.0,52
Prodrugs:,5,92.663116,52
,4,-1.0,52
Challenges,5,96.429672,52
and,5,96.617729,41
,4,-1.0,41
Rewards,5,96.815582,41
,3,-1.0,33
,4,-1.0,33
Part,5,96.377831,33
1,5,96.155563,32
,2,-1.0,102
,3,-1.0,17
,4,-1.0,17
Edited,5,96.432602,14
by,5,96.957672,17
,3,-1.0,81
,4,-1.0,14
Valentino,5,96.852036,14
J.,5,96.029861,14
Stella,5,96.574875,14
,4,-1.0,15
Ronald,5,93.305984,14
T.,5,92.875092,13
Borchardt,5,96.792686,14
,4,-1.0,17
Michael,5,95.526421,14
J.,5,96.38694,14
Hageman,5,91.470718,17
,4,-1.0,17
Reza,5,93.246735,13
Oliyai,5,92.138908,17
,2,-1.0,350
,3,-1.0,350
,4,-1.0,350
   ,5,95.0,350
,2,-1.0,38
,3,-1.0,38
,4,-1.0,20
Hans,5,93.238861,13
Maag,5,69.733078,17
—,5,0.0,5
,4,-1.0,17
Jefferson,5,92.982948,14
W.,5,92.333084,13
Tilley,5,94.754631,17
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
a,5,50.468296,37
Springer,5,96.592079,29
