text,level,conf,height
,1,-1.0,432
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
 ,5,95.0,10
,2,-1.0,72
,3,-1.0,72
,4,-1.0,18
Prosthetic,5,96.34565,18
Treatment,5,96.47274,17
of,5,96.99778,17
,4,-1.0,21
the,5,93.296928,17
Edentulous,5,92.255623,17
"Patient,",5,96.85807,21
,4,-1.0,17
Fourth,5,96.790001,16
Edition,5,96.471176,17
,2,-1.0,36
,3,-1.0,36
,4,-1.0,12
RM.,5,93.304214,12
Basker,5,90.822372,12
,4,-1.0,16
J.C.,5,87.851646,12
Davenport,5,96.916252,16
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Blackwell,5,96.135017,10
