text,level,conf,height
,1,-1.0,648
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
Methods,5,96.884064,20
in,5,96.924942,20
Molecular,5,93.292366,20
Biology~,5,43.604282,26
,2,-1.0,176
,3,-1.0,176
,4,-1.0,50
Protein,5,96.595604,50
,4,-1.0,50
Kinase,5,96.639679,50
,4,-1.0,51
Protocols,5,96.893349,51
,2,-1.0,48
,3,-1.0,48
,4,-1.0,20
Edited,5,89.45388,15
by,5,95.42025,20
,4,-1.0,25
Alastair,5,93.305618,25
D.,5,90.641815,22
Reith,5,96.323174,25
,2,-1.0,208
,3,-1.0,208
,4,-1.0,208
 ,5,95.0,208
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
SK,5,75.074409,35
HUMANA,5,94.962708,35
PRESS,5,94.585777,35
