text,level,conf,height
,1,-1.0,737
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
Methods,5,96.943695,21
in,5,96.939293,20
Molecular,5,96.695328,21
Biology,5,45.784927,27
,2,-1.0,200
,3,-1.0,200
,4,-1.0,51
Protein,5,95.465134,51
,4,-1.0,52
Purification,5,96.302635,52
,4,-1.0,61
.Protocols,5,33.829559,61
,2,-1.0,39
,3,-1.0,39
,4,-1.0,39
»%,5,46.129692,39
Second-Fdition,5,22.680984,25
,2,-1.0,68
,3,-1.0,68
,4,-1.0,27
Edited,5,94.072708,20
by,5,95.967331,27
,4,-1.0,30
Paul,5,96.708809,30
Cutler,5,96.475807,30
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
:,5,33.710854,11
,2,-1.0,48
,3,-1.0,48
,4,-1.0,7
},5,11.672981,7
,4,-1.0,33
7,5,78.819275,12
SHANA,5,1.48703,33
Press,5,62.49411,17
