text,level,conf,height
,1,-1.0,648
,2,-1.0,121
,3,-1.0,121
,4,-1.0,76
Psychology,5,96.497627,76
,4,-1.0,54
and,5,96.265556,38
Law,5,96.306038,54
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
Second,5,96.359642,25
Edition,5,96.554733,25
,2,-1.0,55
,3,-1.0,55
,4,-1.0,55
if,5,73.637375,43
remember,5,74.034691,50
_,5,30.711769,11
,2,-1.0,286
,3,-1.0,286
,4,-1.0,286
 ,5,95.0,286
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
Amina,5,95.506233,17
"Memon,",5,93.306252,20
Aldert,5,93.157326,19
Vrij,5,92.415955,32
and,5,96.563766,15
Ray,5,96.563766,22
Bull,5,96.542068,19
