text,level,conf,height
,1,-1.0,651
,2,-1.0,66
,3,-1.0,66
,4,-1.0,27
STATIC,5,95.754761,27
AND,5,95.656517,27
DYNAMIC,5,95.656517,27
,4,-1.0,27
NEURAL,5,94.828468,26
NETWORKS,5,94.828468,27
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
From,5,96.79744,15
Fundamentals,5,96.888374,15
to,5,96.980782,14
Advanced,5,96.972595,15
Theory,5,96.916168,19
,2,-1.0,336
,3,-1.0,336
,4,-1.0,336
 ,5,95.0,336
,2,-1.0,35
,3,-1.0,35
,4,-1.0,12
MADAN,5,92.923134,11
M.,5,90.062164,9
"GUPTA,",5,95.515396,12
LIANG,5,96.472702,11
"JIN,",5,93.499413,12
and,5,93.26963,10
NORIYASU,5,83.270157,11
HOMMA,5,87.715218,10
,4,-1.0,11
Foreword,5,96.319244,9
by,5,96.996452,28
Lotfi,5,49.624294,9
A.,5,49.624294,28
Zadeh,5,96.114876,9
,2,-1.0,32
,3,-1.0,32
,4,-1.0,32
fps,5,46.689255,32
