text,level,conf,height
,1,-1.0,500
,2,-1.0,212
,3,-1.0,212
,4,-1.0,212
   ,5,95.0,212
 ,5,95.0,64
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
 ,5,95.0,27
,2,-1.0,156
,3,-1.0,156
,4,-1.0,156
TM,5,14.517395,41
AGINATID,5,0.0,99
"HON,",5,51.406853,156
,2,-1.0,130
,3,-1.0,122
,4,-1.0,11
LAWRENCE,5,96.336693,11
BLOCK,5,96.336693,11
STEPHEN,5,96.015564,11
KING,5,96.452904,11
,4,-1.0,15
SUSANNA,5,96.555763,12
CLARKE,5,96.083954,12
JOYCE,5,96.323524,15
CAROL,5,92.40667,12
Q,5,53.714008,12
2,5,23.317169,2
,4,-1.0,50
CHARLES,5,90.965164,12
DE,5,91.805107,12
LINT,5,91.805107,12
KELLY,5,95.076401,34
&,5,76.773659,42
Woy,5,35.701302,44
,4,-1.0,49
CAROLE,5,88.799637,12
NELSON,5,96.421967,12
DOUGLAS,5,54.725716,12
cron,5,8.066185,38
RS,5,32.329376,40
,4,-1.0,23
NEIL,5,92.703873,11
GAIMAN,5,90.021706,11
SHAY,5,52.747154,23
i,5,41.434631,2
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
J,5,28.716362,16
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
Edited,5,95.847641,17
by,5,96.110786,22
Ellen,5,93.442116,17
Dd,5,54.017387,27
