text,level,conf,height
,1,-1.0,500
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
Recorded&Books,5,17.310471,24
,2,-1.0,95
,3,-1.0,95
,4,-1.0,38
THEBEST,5,0.0,38
SCIENCE,5,95.783157,38
,4,-1.0,25
FIGRION'S:,5,0.0,24
FANTASY,5,90.68,25
,4,-1.0,23
Of,5,84.730217,44
THE,5,90.548843,23
YEAR,5,87.277122,23
,2,-1.0,26
,3,-1.0,26
,4,-1.0,11
N.,5,73.090622,10
K.,5,78.24646,10
JEMISIN,5,90.732422,11
//,5,72.797714,28
URSULA,5,87.79628,11
K.,5,91.609367,28
LE,5,92.812012,10
"GUIN,",5,81.835121,28
,4,-1.0,11
NAOMI,5,87.468132,11
NOVIK,5,87.468132,11
//,5,34.065376,10
GARTH,5,34.065376,11
NIX,5,85.658859,10
,2,-1.0,19
,3,-1.0,19
,4,-1.0,7
YOONHALEE/AOETHOMPSON/,5,30.448738,7
zen,5,42.984459,35
cH,5,39.382347,7
/EuzaseTHEEAR,5,0.0,19
,4,-1.0,7
[ALYSSA,5,62.371487,7
WONG,5,90.490051,7
//,5,64.348587,28
DAVE,5,64.348587,7
HUTCHINSON,5,92.310974,7
/|VANDANA,5,30.427467,7
SING,5,0.0,7
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
 ,5,95.0,38
,2,-1.0,144
,3,-1.0,144
,4,-1.0,144
 ,5,95.0,144
