text,level,conf,height
,1,-1.0,765
,2,-1.0,119
,3,-1.0,119
,4,-1.0,56
The-femanl,5,0.0,56
ste,5,38.038082,71
,4,-1.0,52
ENCYCLOPEDIA,5,93.100761,40
of,5,96.003418,51
,2,-1.0,146
,3,-1.0,146
,4,-1.0,55
NURSING,5,93.163292,54
&,5,92.993958,46
,4,-1.0,77
ALLIED,5,91.430168,54
HEALTPY,5,9.494415,77
,2,-1.0,95
,3,-1.0,95
,4,-1.0,39
EB.,5,8.13443,39
,4,-1.0,20
FP,5,75.435219,20
,4,-1.0,11
3,5,96.069397,11
,2,-1.0,313
,3,-1.0,313
,4,-1.0,313
 ,5,95.0,313
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
a?,5,28.348114,16
