text,level,conf,height
,1,-1.0,608
,2,-1.0,46
,3,-1.0,46
,4,-1.0,17
The,5,96.206955,17
Handbook,5,96.386154,17
,4,-1.0,17
of,5,96.490356,17
Autism,5,96.430229,16
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
A,5,80.283768,9
Guide,5,91.378311,9
for,5,91.378311,9
Parents,5,96.494667,9
and,5,96.967575,9
Professionals,5,91.995369,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
2nd,5,96.0728,8
Edition,5,94.354874,8
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Maureen,5,92.590591,9
Aarons,5,96.626671,9
and,5,96.80024,9
Tessa,5,93.224937,9
Gittens,5,76.246048,9
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
R,5,88.988365,26
,2,-1.0,39
,3,-1.0,39
,4,-1.0,19
Also,5,96.027336,15
available,5,96.564232,15
as,5,96.159767,11
a,5,96.776451,11
printed,5,96.169113,19
book,5,96.489326,15
,4,-1.0,15
see,5,95.462051,11
title,5,96.482391,14
verso,5,96.956924,11
for,5,96.776306,15
ISBN,5,96.717583,15
details,5,96.666588,14
,2,-1.0,376
,3,-1.0,376
,4,-1.0,376
 ,5,95.0,376
