text,level,conf,height
,1,-1.0,792
,2,-1.0,93
,3,-1.0,93
,4,-1.0,93
 ,5,95.0,93
,2,-1.0,193
,3,-1.0,193
,4,-1.0,82
The,5,85.173386,54
--—,5,39.145161,82
,4,-1.0,67
Parathyroids,5,91.512024,67
,4,-1.0,32
Basic,5,96.821594,26
and,5,96.828323,26
Clinical,5,96.31778,26
Concepts,5,96.686394,32
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
SECOND,5,80.856857,19
EDITION,5,96.39547,16
,2,-1.0,97
,3,-1.0,97
,4,-1.0,34
John,5,93.264076,33
P.,5,87.925514,25
Bilezikian,5,92.814659,26
,4,-1.0,23
Robert,5,95.80928,23
Marcus,5,95.80928,22
,4,-1.0,24
Michael,5,96.571388,24
A.,5,96.118904,22
Levine,5,96.994225,23
,2,-1.0,51
,3,-1.0,51
,4,-1.0,51
@,5,84.853821,51
