text,level,conf,height
,1,-1.0,634
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
OF,5,96.801697,22
THE,5,96.007446,22
MIND,5,96.007446,25
,2,-1.0,27
,3,-1.0,27
,4,-1.0,21
>,5,81.749962,21
,4,-1.0,21
o,5,67.501068,21
,4,-1.0,23
Wi,5,30.265106,23
,4,-1.0,22
>,5,96.272911,22
,4,-1.0,22
fe),5,35.217384,22
,4,-1.0,22
O,5,66.923912,22
,4,-1.0,22
a,5,37.563469,22
,4,-1.0,22
(a),5,28.989555,22
,4,-1.0,22
ny,5,57.172047,22
,4,-1.0,26
&,5,14.391335,26
,4,-1.0,22
ny,5,26.321335,22
,4,-1.0,22
=i,5,25.913956,22
,4,-1.0,26
=,5,50.584518,26
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
JOHN,5,90.772156,26
R.,5,90.772156,26
SEARLE,5,96.284042,27
,2,-1.0,415
,3,-1.0,415
,4,-1.0,415
 ,5,95.0,415
