text,level,conf,height
,1,-1.0,498
,2,-1.0,26
,3,-1.0,26
,4,-1.0,9
ted,5,38.904839,8
by,5,64.94706,9
,4,-1.0,11
Tilo,5,69.067841,9
Kircher,5,75.367508,9
and,5,96.44429,9
Anthony,5,92.355782,11
David,5,95.090012,9
,2,-1.0,46
,3,-1.0,46
,4,-1.0,46
THE,5,95.876366,45
SELF,5,95.876366,46
,2,-1.0,48
,3,-1.0,48
,4,-1.0,16
in,5,97.005463,15
Neuroscience,5,96.763359,16
,4,-1.0,20
and,5,96.680618,16
Psychiatry,5,96.734299,20
,2,-1.0,111
,3,-1.0,111
,4,-1.0,111
 ,5,95.0,111
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
(Cosmmapor,5,0.0,7
