text,level,conf,height
,1,-1.0,792
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
LR,5,14.350624,9
,2,-1.0,53
,3,-1.0,26
,4,-1.0,12
this,5,94.056541,9
fs,5,61.43298,8
for,5,93.924194,9
non-commercial,5,94.974403,9
use,5,96.385689,6
by,5,96.749535,12
,4,-1.0,12
Russian-speakers,5,44.166092,12
only,5,93.285889,12
!,5,84.82962,9
,3,-1.0,25
,4,-1.0,11
if,5,94.013481,9
you,5,95.850372,9
are,5,95.307869,7
not,5,96.368477,8
a,5,92.159203,7
Russlan-speaker,5,37.086227,11
,4,-1.0,11
delete,5,75.505356,9
this,5,72.231354,9
file,5,72.231354,9
immediately,5,86.317963,11
!,5,82.881866,9
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
‘Aannesn,5,0.0,7
cKaH,5,0.0,6
NpEANOSHANEH,5,13.615501,9
AME,5,40.568081,6
ANA,5,67.91481,8
,2,-1.0,25
,3,-1.0,25
,4,-1.0,11
1.,5,76.777992,9
pyccnonx,5,0.0,9
nonmsaosarenen,5,0.0,7
,4,-1.0,12
paves,5,37.014259,9
1,5,63.061543,6
"yueHeu,",5,0.0,9
B,5,67.94062,7
ocoBeHwocTH,5,0.0,10
,2,-1.0,424
,3,-1.0,424
,4,-1.0,424
 ,5,95.0,424
