text,level,conf,height
,1,-1.0,475
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
Ae,5,31.639435,30
,2,-1.0,58
,3,-1.0,58
,4,-1.0,25
THE,5,92.558807,24
NETTER,5,92.30146,24
COLLECTION,5,96.578224,25
,4,-1.0,26
of,5,96.602921,17
Medical,5,96.710991,26
Illustrations,5,86.719254,26
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
FRANK,5,93.134521,11
H.,5,90.397064,11
"NETTER,",5,92.091881,13
MD,5,43.80323,11
2nd,5,43.80323,9
Esition,5,56.012821,9
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
VOLUME,5,86.069717,15
5,5,86.069717,28
,2,-1.0,133
,3,-1.0,133
,4,-1.0,133
   ,5,95.0,133
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Urinary,5,96.40448,18
System,5,95.755966,18
,2,-1.0,33
,3,-1.0,33
,4,-1.0,11
CHRISTOPHER,5,93.305794,11
R.,5,90.28508,11
KELLY,5,96.1707,11
,4,-1.0,13
JAIME,5,96.306145,13
LANDMAN,5,96.10038,11
