text,level,conf,height
,1,-1.0,8954
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,4157
,3,-1.0,4157
,4,-1.0,4157
 ,5,95.0,4157
,2,-1.0,3967
,3,-1.0,3967
,4,-1.0,3967
 ,5,95.0,3967
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,1002
,3,-1.0,1002
,4,-1.0,1002
   ,5,95.0,1002
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,108
,3,-1.0,108
,4,-1.0,108
    ,5,95.0,108
,2,-1.0,247
,3,-1.0,248
,4,-1.0,103
yw,5,52.240837,103
ww,5,46.864647,21
,4,-1.0,123
FO,5,9.819099,118
aN,5,34.631439,106
,2,-1.0,1382
,3,-1.0,1382
,4,-1.0,1382
 ,5,95.0,1382
,2,-1.0,1598
,3,-1.0,1598
,4,-1.0,1598
 ,5,95.0,1598
,2,-1.0,52
,3,-1.0,52
,4,-1.0,52
 ,5,95.0,52
,2,-1.0,781
,3,-1.0,781
,4,-1.0,781
GLAGH,5,38.973969,781
TRON,5,45.339172,768
,2,-1.0,293
,3,-1.0,293
,4,-1.0,293
by,5,91.373383,293
GRAEME,5,91.373383,213
LYON,5,96.668343,214
