text,level,conf,height
,1,-1.0,792
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
ABrit,5,0.0,7
History,5,95.562675,9
of,5,96.720192,22
Time,5,93.20591,22
-,5,89.269119,22
Stephen,5,96.342636,9
Hawking,5,63.037849,9
,2,-1.0,58
,3,-1.0,58
,4,-1.0,28
A,5,96.148201,27
BRIEF,5,96.148201,27
HISTORY,5,95.729965,27
OF,5,96.070618,23
TIME,5,90.143135,28
,4,-1.0,20
STEPHEN,5,96.133591,20
HAWKING,5,95.219734,20
,2,-1.0,272
,3,-1.0,32
,4,-1.0,12
Chapter,5,70.755157,12
4,5,83.824249,9
-,5,92.402687,2
Our,5,96.53437,9
Picture,5,96.722343,9
of,5,96.974968,9
the,5,95.259613,9
Universe,5,88.429451,9
,4,-1.0,12
Chapter,5,80.359062,12
2-,5,85.537819,9
Space,5,96.900597,12
and,5,95.848244,9
Time,5,95.848244,9
,3,-1.0,12
,4,-1.0,12
Chapter,5,86.971375,12
3,5,91.59523,28
-,5,91.59523,9
The,5,96.962334,9
Expanding,5,96.781784,12
Universe,5,94.918579,9
,3,-1.0,12
,4,-1.0,12
Chapter,5,78.589844,12
4,5,73.151733,9
-,5,73.151733,2
The,5,96.934189,9
Uncertainty,5,96.817619,12
Principle,5,96.732063,12
,3,-1.0,32
,4,-1.0,12
Chapter,5,87.921715,12
5,5,68.144562,28
-,5,92.027077,9
Elementary,5,95.971397,12
Particles,5,94.281166,9
and,5,96.883301,9
the,5,96.887772,9
Forces,5,96.944061,9
of,5,96.965652,9
Nature,5,88.131821,9
,4,-1.0,12
Chapter,5,77.665054,12
6,5,91.702805,28
-,5,91.702805,28
Black,5,96.81797,9
Holes,5,96.35762,9
,3,-1.0,12
,4,-1.0,12
Chapter,5,88.899391,12
7,5,83.181587,28
-,5,83.181587,28
Black,5,96.917343,9
Holes,5,96.912514,9
Ain't,5,82.379944,9
So,5,93.168602,9
Black,5,96.713211,9
,3,-1.0,12
,4,-1.0,12
Chapter,5,80.747032,12
8,5,91.93541,28
-,5,91.93541,28
The,5,96.836418,9
Origin,5,96.62468,12
and,5,96.983536,9
Fate,5,96.651642,9
of,5,96.684784,28
the,5,96.684784,9
Universe,5,96.903282,9
,3,-1.0,12
,4,-1.0,12
Chapter,5,89.418854,12
9,5,87.977859,9
-,5,87.977859,2
The,5,96.942017,9
Arrow,5,93.209755,9
of,5,96.904991,9
Time,5,96.510796,9
,3,-1.0,12
,4,-1.0,12
