text,level,conf,height
,1,-1.0,681
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Rainer,5,92.119926,8
Ansorge,5,92.402512,10
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Mathematical,5,95.642258,9
Models,5,92.924927,9
of,5,93.304848,9
Fluiddynamics,5,59.321842,12
,2,-1.0,22
,3,-1.0,22
,4,-1.0,11
"Modelling,",5,75.725098,11
The,5,94.409866,28
,4,-1.0,8
An,5,74.965103,8
Introduction,5,77.70816,8
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
5:,5,0.0,8
Basie,5,83.984604,8
Numerical,5,76.035919,8
Facts,5,33.763451,8
~,5,29.31517,28
