text,level,conf,height
,1,-1.0,609
,2,-1.0,46
,3,-1.0,46
,4,-1.0,12
MOBILE,5,96.747238,12
,4,-1.0,12
PROGRAMMING,5,96.327621,12
,4,-1.0,12
SERIES,5,96.081085,12
,2,-1.0,197
,3,-1.0,197
,4,-1.0,197
 ,5,95.0,197
,2,-1.0,107
,3,-1.0,107
,4,-1.0,107
=,5,94.296928,73
ios,5,32.096214,90
,2,-1.0,37
,3,-1.0,37
,4,-1.0,37
UICOLLECTIONVIEW,5,90.870987,37
,2,-1.0,79
,3,-1.0,79
,4,-1.0,23
THE,5,95.737373,23
COMPLETE,5,95.737373,23
GUIDE,5,96.820572,23
,4,-1.0,18
SECOND,5,96.891121,18
EDITION,5,96.891121,18
,2,-1.0,52
,3,-1.0,52
,4,-1.0,29
WSL,5,0.0,16
bUeR-R-0-W,5,0.0,29
,4,-1.0,10
eee,5,27.889793,10
