text,level,conf,height
,1,-1.0,792
,2,-1.0,82
,3,-1.0,26
,4,-1.0,12
‘Since,5,93.185623,6
the,5,95.543404,9
signs,5,96.716911,6
may,5,96.670227,7
be,5,96.617317,9
indicating,5,94.471298,9
that,5,96.96196,9
a,5,93.915718,6
chromosphere,5,93.915718,28
"discharge,",5,96.572365,28
strip,5,68.371056,10
"tease,",5,78.518204,7
or,5,96.92585,6
skin,5,95.816765,9
,4,-1.0,12
shedding,5,91.305923,12
is,5,96.940613,6
"approaching,",5,96.654701,12
this,5,96.989395,9
we,5,96.769135,6
have,5,96.947258,6
documented,5,95.091911,9
quite,5,96.889915,10
profusely,5,95.704704,12
in,5,96.403313,6
our,5,92.102524,6
book,5,92.102524,9
,3,-1.0,54
,4,-1.0,12
and,5,85.552101,9
have,5,96.367889,9
illustrated,5,87.893326,9
in,5,95.192513,6
seminars,5,95.192513,6
graphically,5,96.384117,12
since,5,92.122841,6
"1993,",5,73.265266,9
,4,-1.0,9
the,5,95.303047,9
significance,5,96.759766,9
of,5,96.855225,28
these,5,95.844406,28
"events,",5,94.702377,5
together,5,96.651482,7
with,5,96.128334,9
the,5,93.553329,9
weather,5,95.884361,9
records,5,96.269432,9
that,5,96.908218,9
were,5,96.914253,28
broken,5,92.237724,9
,4,-1.0,12
in,5,95.84729,6
"1998,",5,95.336021,9
may,5,96.671715,9
pose,5,96.885223,9
prime,5,96.823074,9
significance.,5,95.327263,9
The,5,95.999924,9
ice,5,96.171516,6
"records,",5,96.765396,9
and,5,96.865334,9
Moon,5,87.280548,9
"geology,",5,96.839325,28
shows,5,89.759605,9
,4,-1.0,12
evidence,5,92.009407,9
for,5,95.474274,8
a,5,93.881401,28
regular,5,93.881401,12
"12,000",5,89.106712,28
+,5,96.883484,7
year,5,96.883484,9
chromosphere,5,91.511574,12
cycle.,5,86.847672,28
,2,-1.0,55
,3,-1.0,9
,4,-1.0,9
‘,5,12.825684,2
The,5,96.792183,9
Earth's,5,84.99633,9
field,5,96.743881,9
,3,-1.0,40
,4,-1.0,10
-d,5,82.204857,28
and,5,96.88208,9
blown,5,94.532059,9
by,5,96.807014,10
the,5,96.953644,9
the,5,96.632545,9
solar,5,96.763969,9
"wind,",5,96.723267,28
affecting,5,96.624977,9
our,5,96.918465,6
"weather,",5,96.719749,28
"moods,",5,90.894936,9
,4,-1.0,12
"communications,",5,90.147339,7
"health,",5,96.491508,9
and,5,96.845398,9
fertility.,5,50.85183,12
Our,5,84.342926,9
satellites,5,84.342926,9
and,5,96.897919,9
radio,5,94.36969,9
communications,5,88.734558,7
,4,-1.0,12
disrupted.,5,83.810219,12
,2,-1.0,84
,3,-1.0,84
,4,-1.0,13
1998/08/24,5,48.81163,10
16:31,5,72.804375,7
By,5,96.823715,12
June,5,96.635422,9
"24th,",5,96.666885,9
the,5,93.251427,9
"""Object’s",5,52.314217,12
,4,-1.0,12
trajectory,5,58.337601,10
is,5,93.989754,28
far,5,96.94957,9
from,5,96.833275,9
the,5,96.833275,9
"sun,",5,96.687881,6
and,5,96.953606,9
is,5,96.914253,6
massive.,5,91.065521,6
As,5,91.065521,9
you,5,96.845596,6
will,5,96.956001,9
witness,5,90.989998,7
in,5,96.955437,6
part,5,96.932022,11
two,5,94.2286,28
of,5,96.897263,28
THE,5,82.15213,9
,4,-1.0,9
SUN,5,96.728325,9
GATE,5,96.862648,28
"CONSPIRACY,",5,93.193092,28
we,5,95.347649,6
have,5,94.595116,9
been,5,94.595116,9
able,5,96.575478,9
to,5,96.575478,7
confirm,5,91.637627,8
Ptah's,5,60.262691,9
statement,5,96.143181,9
of,5,97.002335,28
,4,-1.0,12
more,5,76.582947,6
"""Objects""",5,63.947067,11
by,5,96.635544,12
the,5,96.635544,9
"sun,",5,86.824501,6
and,5,86.824501,9
what,5,95.290573,9
they,5,95.290573,9
appear,5,96.738297,9
to,5,96.725555,8
be,5,96.740776,9
doing,5,96.882126,12
to,5,96.765747,7
the,5,96.791687,9
solar,5,95.542503,9
"surface,",5,94.631981,9
is,5,96.935921,6
,4,-1.0,12
maintaining,5,77.356705,10
and,5,94.565186,9
almost,5,96.803452,9
knitting,5,96.753029,12
the,5,96.859795,9
chromosphere,5,93.413498,12
into,5,95.587387,7
"continuance,",5,95.095871,7
or,5,96.569496,6
so,5,96.276344,6
it,5,96.851547,8
would,5,94.139961,9
,4,-1.0,9
appear.,5,93.762497,9
,2,-1.0,792
,3,-1.0,792
,4,-1.0,792
 ,5,95.0,792
