text,level,conf,height
,1,-1.0,646
,2,-1.0,640
,3,-1.0,640
,4,-1.0,640
 ,5,95.0,640
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Editors,5,93.226913,11
MARIE-HELENE,5,88.474846,14
VERLHAC,5,88.474846,11
|,5,96.87677,15
ANNE,5,93.184464,11
VILLENEUVE,5,92.575417,11
,2,-1.0,96
,3,-1.0,96
,4,-1.0,39
Gi,5,10.48085,39
€,5,32.954262,47
,4,-1.0,39
Pa,5,20.602676,31
SD,5,58.205582,55
,2,-1.0,92
,3,-1.0,92
,4,-1.0,92
Oogenesis,5,92.139229,92
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
The,5,96.65094,17
Universal,5,96.799622,17
Process,5,96.645996,25
,2,-1.0,46
,3,-1.0,46
,4,-1.0,46
 ,5,95.0,46
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
8.,5,27.739914,19
,2,-1.0,640
,3,-1.0,640
,4,-1.0,640
 ,5,95.0,640
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
GWILEY-BLACKWELL,5,36.167065,14
°°,5,0.0,23
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
