text,level,conf,height
,1,-1.0,594
,2,-1.0,57
,3,-1.0,57
,4,-1.0,57
Angel,5,96.557808,57
Tech,5,96.946022,44
,2,-1.0,47
,3,-1.0,47
,4,-1.0,19
A,5,96.083344,16
Modern,5,92.832291,18
Shaman’s,5,92.45121,19
Guide,5,96.676376,18
,4,-1.0,22
to,5,96.230835,15
Reality,5,96.417801,22
Selection,5,96.661987,18
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Antero,5,96.271309,16
Alli,5,96.464279,18
,2,-1.0,363
,3,-1.0,363
,4,-1.0,363
 ,5,95.0,363
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Preface,5,96.786049,13
by,5,96.689667,17
Robert,5,97.001556,13
Anton,5,96.970215,12
"Wilson,",5,96.979179,17
Ph.D.,5,96.116951,12
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
