text,level,conf,height
,1,-1.0,648
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
 ,5,95.0,34
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
OTL,5,0.0,22
LLL,5,0.0,35
LLL,5,0.0,35
LLL,5,0.0,35
LLL,5,0.0,35
LE,5,32.649376,35
,2,-1.0,140
,3,-1.0,140
,4,-1.0,47
Optimizing,5,96.401733,47
HPC,5,96.78167,40
,4,-1.0,47
Applications,5,96.582535,47
with,5,96.967819,28
,4,-1.0,41
Intel®,5,95.989906,41
Cluster,5,96.977829,39
Tools,5,96.90686,39
,2,-1.0,118
,3,-1.0,118
,4,-1.0,16
Alexander,5,93.294632,13
"Supalov,",5,91.546188,27
Andrey,5,96.730743,16
"Semin,",5,96.671974,15
Michael,5,95.848534,13
Klemm.,5,82.236923,14
,4,-1.0,16
and,5,96.25296,10
Christopher,5,93.303802,16
Dahnken,5,70.177147,13
,4,-1.0,62
ae,5,25.167473,62
—-,5,0.0,8
“Op,5,77.142426,55
en,5,94.908325,24
