text,level,conf,height
,1,-1.0,666
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
THE,5,56.624748,10
EXPERT'S,5,56.624748,10
VOICE®,5,90.368034,10
IN,5,82.352264,9
JAVA,5,60.138783,9
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
_,5,19.213402,3
ttt,5,23.028252,13
bd,5,21.755577,17
TATTEELPLETELTILUAS.,5,0.0,23
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
Oracle,5,96.552917,34
Certified,5,96.102615,34
Professional,5,96.676407,34
,2,-1.0,99
,3,-1.0,99
,4,-1.0,99
Java,5,95.646835,97
SE,5,95.646835,99
7,5,96.101387,92
,2,-1.0,112
,3,-1.0,112
,4,-1.0,57
Programmer,5,96.171173,57
Exams,5,96.171173,47
,4,-1.0,43
1Z0-804,5,91.328979,43
and,5,93.177681,38
1Z0-805,5,91.709335,43
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
A,5,0.0,16
Comprehensive,5,0.0,21
OCPJP,5,87.596046,18
7,5,96.970909,16
Certification,5,96.479813,18
Guide,5,96.801933,18
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
S,5,60.056252,13
G,5,89.123383,13
Ganesh,5,95.582893,13
and,5,85.579041,10
Tushar,5,95.518936,13
Sharma,5,96.754372,14
,2,-1.0,47
,3,-1.0,47
,4,-1.0,19
SIIILLLLSLSSSSTSSSSSI,5,0.0,19
IOP,5,0.0,11
,4,-1.0,29
Apress*,5,31.27639,29
,2,-1.0,67
,3,-1.0,67
,4,-1.0,67
 ,5,95.0,67
