text,level,conf,height
,1,-1.0,666
,2,-1.0,82
,3,-1.0,82
,4,-1.0,82
|,5,5.415024,58
eorsiacemoncie,5,0.0,58
ous),5,33.707047,78
,2,-1.0,212
,3,-1.0,212
,4,-1.0,55
Oracle,5,95.975586,54
Database,5,96.296257,54
,4,-1.0,53
Transactions,5,95.715179,53
and,5,96.792267,37
,4,-1.0,67
Locking,5,96.31366,67
Revealed,5,96.722343,54
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
3FUL,5,0.0,10
CONCURRENCY,5,78.08979,11
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Thomas,5,96.909027,13
Kyte,5,96.116821,16
and,5,96.812111,10
Darl,5,95.061134,13
Kuhn,5,92.404686,13
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
Apress:,5,55.471886,30
