text,level,conf,height
,1,-1.0,666
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
 ,5,95.0,26
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
THE,5,92.059563,10
EXPERT'S,5,42.537727,10
VOICE®IN,5,61.694618,10
WINDOWS.,5,80.255882,10
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
_-,5,12.771187,5
ap,5,17.913506,9
TIMMTSTVILLTLIELLYSE,5,0.0,22
"SS,",5,34.883186,36
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
Pro,5,96.564041,36
,2,-1.0,208
,3,-1.0,208
,4,-1.0,56
Windows,5,96.314163,56
8.1,5,96.314163,55
,4,-1.0,67
Development,5,96.393349,67
,4,-1.0,56
with,5,93.234718,36
XAML,5,92.675301,54
and,5,70.211502,37
C#,5,92.522148,56
,2,-1.0,39
,3,-1.0,39
,4,-1.0,10
DISCOVER,5,42.816525,24
TE,5,48.543392,10
FUTURE,5,76.57428,10
OE,5,61.078209,10
,4,-1.0,11
‘PROGRAMMING,5,69.700195,10
ON,5,96.489998,10
THE,5,96.887535,10
MICROSOFT,5,92.689003,11
,4,-1.0,10
PLATFORM,5,95.159218,10
USING,5,93.246803,10
XAML,5,92.841087,10
AND,5,92.841087,10
Cf,5,23.935661,10
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Jesse,5,90.483292,13
"Liberty,",5,96.086563,15
Philip,5,93.220665,16
"Japikse,",5,93.051277,16
and,5,93.093437,10
Jon,5,96.916733,13
Galloway,5,95.189056,17
,2,-1.0,46
,3,-1.0,46
,4,-1.0,19
COLL////LL,5,0.0,19
4s,5,23.693375,31
dh,5,28.006882,31
hdd,5,34.985474,19
,4,-1.0,29
Apress®,5,16.462997,29
