text,level,conf,height
,1,-1.0,666
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
 ,5,95.0,20
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Implement,5,93.189049,32
continuous,5,95.286041,32
integration,5,96.21714,10
and,5,94.615822,2
delivery,5,62.384296,12
in,5,62.384296,32
your,5,95.839912,12
i0S,5,82.553986,12
projects,5,96.892021,12
,2,-1.0,193
,3,-1.0,193
,4,-1.0,105
iOS,5,52.660614,67
Continuous,5,96.238045,105
,4,-1.0,84
Integration,5,96.814766,102
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
Romain,5,91.928711,27
Pouclet,5,82.508392,27
,2,-1.0,240
,3,-1.0,240
,4,-1.0,240
 ,5,95.0,240
,2,-1.0,580
,3,-1.0,580
,4,-1.0,580
 ,5,95.0,580
