text,level,conf,height
,1,-1.0,666
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Making,5,96.576736,17
and,5,96.967773,13
marketing,5,96.963852,17
apps,5,96.933296,12
that,5,96.98056,12
succeed,5,92.433014,12
,2,-1.0,218
,3,-1.0,218
,4,-1.0,218
 ,5,95.0,218
,2,-1.0,122
,3,-1.0,122
,4,-1.0,46
The,5,96.714035,44
Business,5,95.462852,44
of,5,96.95237,46
,4,-1.0,56
iOS,5,68.533302,45
App,5,96.899437,55
Development,5,96.533501,56
,2,-1.0,68
,3,-1.0,68
,4,-1.0,25
For,5,95.492546,20
"iPhone,",5,95.492546,25
iPad,5,95.584732,21
and,5,96.643562,21
iPod,5,96.643562,21
touch,5,96.844177,21
,4,-1.0,14
THIRD,5,89.648834,14
EDITION,5,89.648834,14
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
Taylor,5,96.480835,17
Pierce,5,95.078201,12
|,5,95.078201,19
Dave,5,93.095085,12
Wooldridge,5,83.589577,32
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Apress,5,95.609108,16
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
 ,5,95.0,30
