text,level,conf,height
,1,-1.0,1167
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
THE,5,96.792046,16
EXPERT'S,5,54.679623,16
VOICE®,5,91.563141,16
IN,5,96.903893,16
WINDOWS,5,96.401863,16
8,5,89.767365,16
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
 ,5,95.0,47
,2,-1.0,40
,3,-1.0,40
,4,-1.0,40
_,5,90.067459,5
«et,5,31.6633,10
Vs,5,0.0,24
"sdTbbTTPTEPLPTEPTTGSAS,",5,0.0,40
,2,-1.0,280
,3,-1.0,280
,4,-1.0,107
Windows,5,96.839607,107
8,5,96.945564,105
,4,-1.0,132
App,5,96.796265,130
Projects,5,96.146179,132
,2,-1.0,354
,3,-1.0,354
,4,-1.0,30
XAML,5,92.977554,30
and,5,92.739281,30
C#,5,89.636642,30
Edition,5,96.088104,30
,4,-1.0,17
LEARN,5,96.830482,17
TO,5,93.019379,17
BUILD,5,96.49366,17
FAST,5,96.401886,17
AND,5,96.083885,17
FLUID,5,95.953651,17
,4,-1.0,17
WINDOWS,5,96.369171,17
8,5,95.91246,17
APPS,5,95.91246,17
IN,5,91.386223,17
A,5,91.386223,17
VARIETY,5,94.496918,17
,4,-1.0,17
OF,5,96.3181,17
CONTEXTS,5,96.182541,17
AND,5,96.371315,17
PROJECTS,5,94.584282,17
,4,-1.0,23
Nico,5,93.205963,23
Vermeir,5,92.797905,23
,2,-1.0,84
,3,-1.0,84
,4,-1.0,36
LLL,5,43.17569,34
aa,5,30.469902,34
|,5,76.522301,3
,4,-1.0,52
Apress’,5,53.706451,52
