text,level,conf,height
,1,-1.0,666
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
‘THE,5,88.734619,9
EXPERT'S,5,28.412865,28
VOICE®,5,78.201332,10
IN.,5,58.904579,9
POWERSHELL,5,84.347382,10
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
OL,5,2.840622,22
LLL,5,2.840622,37
ith,5,8.667328,37
hed,5,10.030212,37
,2,-1.0,164
,3,-1.0,164
,4,-1.0,47
Windows,5,96.308998,46
PowerShell,5,89.706573,47
,4,-1.0,40
Desired,5,95.906898,39
State,5,96.509201,40
,4,-1.0,50
Configuration,5,96.449989,50
Revealed,5,96.129471,39
,2,-1.0,39
,3,-1.0,39
,4,-1.0,10
EVERYTHING,5,65.047134,10
YOU,5,96.908714,10
NEED,5,81.891373,10
TO,5,93.299126,10
KNCW,5,80.415146,10
,4,-1.0,10
‘ABOUT,5,74.917458,9
AUTOMATING,5,93.305267,9
CONFIGUPATION,5,83.712044,10
,4,-1.0,10
‘MANAGEMENT,5,56.356625,10
IN,5,93.201576,28
WINDOWS,5,89.04303,10
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Ravikanth,5,92.15863,13
Chaganti,5,91.934937,16
,2,-1.0,46
,3,-1.0,46
,4,-1.0,19
COL//////L,5,1.109482,19
44d,5,21.483337,31
hh,5,42.470089,31
ded,5,32.128372,19
,4,-1.0,29
Apress®,5,13.51429,29
