text,level,conf,height
,1,-1.0,792
,2,-1.0,120
,3,-1.0,120
,4,-1.0,21
Biology,5,96.531723,21
and,5,96.11731,16
Human,5,96.11731,16
Behavior:,5,96.242905,16
,4,-1.0,21
The,5,96.940559,16
Neurological,5,96.180214,21
Origins,5,95.793724,21
of,5,96.993729,16
Individuality,5,96.516701,21
,4,-1.0,21
2™,5,67.755379,21
Edition,5,96.157448,16
,4,-1.0,11
Part,5,94.231247,11
I,5,94.043205,31
,4,-1.0,16
Professor,5,96.84903,12
Robert,5,92.983727,12
Sapolsky,5,92.983727,16
,2,-1.0,57
,3,-1.0,57
,4,-1.0,57
;,5,25.536636,57
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
‘THE,5,78.555908,8
TEACHING,5,22.69149,8
Company,5,81.048874,8
®,5,70.682144,8
