text,level,conf,height
,1,-1.0,1021
,2,-1.0,444
,3,-1.0,444
,4,-1.0,444
 ,5,95.0,444
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
A,5,96.304031,20
COMPANION,5,96.212631,20
,2,-1.0,253
,3,-1.0,253
,4,-1.0,98
ENGLISH,5,78.179016,73
RENAISSANCE,5,93.093384,122
,4,-1.0,87
LYTERATURE,5,4.162529,87
,4,-1.0,64
AND,5,43.156471,48
CULTURE,5,43.156471,64
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
EDITED,5,95.154221,18
BY,5,95.154221,18
MICHAEL,5,93.290535,19
HATTAWAY,5,90.568474,18
,2,-1.0,43
,3,-1.0,43
,4,-1.0,41
(,5,49.275093,36
Blackwell,5,92.3992,31
,4,-1.0,16
Publishing,5,96.907448,16
,2,-1.0,28
,3,-1.0,28
,4,-1.0,28
 ,5,95.0,28
