text,level,conf,height
,1,-1.0,666
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
‘THe,5,39.195999,13
BrrraNnica,5,47.044708,13
Gute,5,7.015167,13
TO,5,96.211273,9
ANCIENT,5,96.322464,12
CIVILIZATIONS,5,95.405899,13
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
ANCIENT,5,91.11718,20
,2,-1.0,89
,3,-1.0,89
,4,-1.0,89
EGYPT,5,94.167763,89
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
=,5,34.001709,4
»,5,55.9659,7
©,5,23.759987,1
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
FROM,5,96.684189,14
PREHISTORY,5,96.684189,14
TO,5,95.874062,11
THE,5,96.379448,11
ISLAMIC,5,96.417526,14
CONQUEST,5,95.636864,16
,2,-1.0,72
,3,-1.0,72
,4,-1.0,72
_,5,55.212521,72
=,5,72.085464,20
,2,-1.0,462
,3,-1.0,462
,4,-1.0,462
 ,5,95.0,462
