text,level,conf,height
,1,-1.0,648
,2,-1.0,148
,3,-1.0,148
,4,-1.0,148
 ,5,95.0,148
,2,-1.0,32
,3,-1.0,32
,4,-1.0,32
PAINTERS,5,96.585609,32
,2,-1.0,32
,3,-1.0,32
,4,-1.0,32
 ,5,95.0,32
,2,-1.0,59
,3,-1.0,55
,4,-1.0,14
CCTTT,5,49.683399,23
P,5,53.374733,14
fal,5,83.174675,9
,4,-1.0,44
D,5,64.113663,1
&,5,64.860504,10
DK,5,75.96759,17
dle,5,49.186398,44
PIC,5,51.418892,32
Jt,5,41.366066,22
RS,5,96.2071,18
1),5,5.545258,17
,4,-1.0,43
OF,5,96.927055,14
THE,5,96.911514,13
ee,5,30.389717,43
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Eprrep,5,64.840103,9
By,5,93.191154,9
Karuees,5,14.867004,9
Kure,5,63.046982,9
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,44
,3,-1.0,44
,4,-1.0,44
Britannica,5,93.538147,44
|,5,92.623192,59
,2,-1.0,48
,3,-1.0,48
,4,-1.0,48
 ,5,95.0,48
,2,-1.0,48
,3,-1.0,48
,4,-1.0,48
 ,5,95.0,48
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
