text,level,conf,height
,1,-1.0,497
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
Metaphor,5,96.642746,38
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
L.,5,90.919456,14
David,5,96.944443,14
Ritchie,5,96.770569,14
,2,-1.0,26
,3,-1.0,26
,4,-1.0,9
KEY,5,96.086525,9
TOPICS,5,96.086525,9
IN,5,84.107422,9
,4,-1.0,10
SEMANTICS,5,96.249886,10
AND,5,96.752243,10
PRAGMATICS,5,96.752243,10
,2,-1.0,100
,3,-1.0,100
,4,-1.0,100
 ,5,95.0,100
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
‘Cammnce,5,10.024811,7
,2,-1.0,105
,3,-1.0,105
,4,-1.0,105
 ,5,95.0,105
