text,level,conf,height
,1,-1.0,648
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
 ,5,95.0,30
,2,-1.0,31
,3,-1.0,31
,4,-1.0,10
examines,5,39.017418,5
the,5,78.909897,7
raught,5,39.482628,10
"Wolo,",5,0.0,10
"plies,",5,15.182388,9
ad,5,72.945221,7
gender,5,78.340134,28
confit,5,12.212372,28
hat,5,54.074089,7
are,5,54.074089,5
,4,-1.0,9
‘wore,5,47.794487,5
into,5,49.971397,6
the,5,47.444157,7
lxture,5,13.633049,6
of,5,79.325356,28
The,5,92.734253,28
Fare,5,70.702705,7
Queene,5,61.821751,28
and,5,61.821751,7
Pareie,5,16.876282,7
Lat,5,68.244415,7
Se,5,72.561333,7
,4,-1.0,9
hat,5,73.064644,7
Reformation,5,22.231209,7
eonacas,5,15.693573,7
viewed,5,85.784752,7
vere,5,0.0,7
image,5,38.009018,7
with,5,64.974449,7
the,5,76.719398,7
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,40
,3,-1.0,40
,4,-1.0,40
 ,5,95.0,40
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Drseve,5,6.087784,7
the,5,61.807598,7
staping,5,73.513901,9
power,5,96.13356,7
,2,-1.0,41
,3,-1.0,9
,4,-1.0,9
“racing,5,65.931938,9
the,5,71.15802,7
transfomation,5,39.631279,7
ofthe,5,52.116741,7
ep,5,27.477379,7
poem,5,68.479004,7
nt,5,78.321014,6
an,5,83.098289,5
insrument,5,53.065796,6
for,5,96.258034,7
,3,-1.0,31
,4,-1.0,10
‘reformation,5,7.619926,7
of,5,85.304214,7
the,5,91.055794,7
potical,5,44.231232,9
subject,5,31.881676,8
Gregerson,5,77.167122,9
thus,5,57.619766,7
proves,5,15.470169,9
am,5,78.93029,5
,4,-1.0,9
‘laminating,5,43.991261,8
contin,5,30.910324,7
to,5,54.132462,5
our,5,54.132462,5
endersandig,5,37.409,9
ofthe,5,86.085724,7
ways,5,57.293274,7
In,5,57.293274,7
which,5,69.828682,7
,4,-1.0,10
sebjectinies,5,12.763367,8
re,5,76.65007,5
Mistonclly,5,0.0,28
produced.,5,36.217003,28
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
