text,level,conf,height
,1,-1.0,842
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,713
,3,-1.0,713
,4,-1.0,713
 ,5,95.0,713
,2,-1.0,34
,3,-1.0,34
,4,-1.0,14
Autore,5,92.436928,14
Carlo,5,93.263924,14
Dorofatti,5,92.822311,14
,4,-1.0,13
Gattopardo,5,86.032974,13
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
The,5,96.024979,23
Esoteric,5,96.024979,23
Physics,5,96.609726,29
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
Science,5,96.528275,16
and,5,96.182114,16
Magic,5,95.507851,19
in,5,96.260391,15
the,5,96.890739,16
New,5,96.734665,16
Millennium,5,96.325874,16
,2,-1.0,59
,3,-1.0,59
,4,-1.0,59
 ,5,95.0,59
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,713
,3,-1.0,713
,4,-1.0,713
 ,5,95.0,713
